,0,1,colors
esa1,-30.23917,-62.972492,#89BCE6
ies5,67.020584,3.6736045,#000000
hos2,-34.3518,-27.26225,#FAAE65
DAM,-30.437517,31.935871,#426BB4
rpd3,-53.159946,29.11666,#9375B5
hmt2,-28.3499,-54.399967,#426BB4
hda1,-38.56695,-31.87625,#FAAE65
gcn5,-23.481041,-64.15385,#1C4847
hos1,-36.065918,-45.047558,#FAAE65
srb7,51.171333,-3.5203953,#9A9A9B
spp1,-31.477333,-69.48578,#442D85
vps71,29.698418,-18.423706,#409091
arp9,-19.58837,-48.2463,#E877AE
sir2,-39.939705,-40.287434,#FAAE65
sfh1,39.066555,-9.347787,#93C945
cdc36,-32.45217,35.573135,#000000
nhp6a,25.855879,23.576391,#000000
med4,39.622597,16.78068,#9A9A9B
nut2,42.211388,5.910265,#9A9A9B
med7,42.025738,0.016370745,#9A9A9B
vp16,20.1447,25.101013,#000000
ada2,16.453205,-23.320904,#1C4847
bre2,-26.739721,-61.162277,#442D85
gapdh,-54.69286,21.132875,#851A19
mig1,34.369194,51.055202,#000000
hst2,20.166935,-19.672194,#FAAE65
htl1,67.83318,7.1578045,#93C945
eaf5,43.8377,-3.6121082,#89BCE6
swd3,-45.65413,-41.244835,#442D85
btt1,52.294117,-11.560939,#000000
nhp10,40.016884,24.759476,#000000
eaf3,24.116398,-18.243084,#9375B5
sus1,67.67904,-2.000593,#1C4847
cac2,-38.243767,29.689135,#000000
hat2,-41.52728,-22.271574,#CC722A
rtt102,33.75773,6.633493,#E877AE
dpd4,36.19862,19.513063,#000000
swc5,32.172127,21.804815,#409091
hhf2,-24.342682,29.649227,#000000
arp6,-39.941357,-28.155197,#409091
tdh3,-53.037632,15.975921,#851A19
pyk1,-51.256187,22.224365,#851A19
ldb7,12.902467,-20.35043,#93C945
snf11,54.000324,-16.734045,#E877AE
pyk2,-41.215366,27.047905,#851A19
hat1,-24.57863,-49.393562,#CC722A
lge1,30.896889,51.309155,#000000
