,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,bin7_rep1,bin8_rep1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2,bin7_rep2,bin8_rep2
btt1_dpd4,174497.0,113739.0,106014.0,71750.0,30973.0,7564.0,5465.0,3750.0,110656.0,101776.0,71336.0,49891.0,60307.0,18112.0,14787.0,11039.0
dpd4_dpd4,140333.0,92858.0,60585.0,34092.0,16762.0,3627.0,2883.0,3422.0,95387.0,72586.0,43155.0,18002.0,22049.0,10803.0,8709.0,8930.0
tdh3_dpd4,129212.0,98091.0,77313.0,37042.0,23259.0,4128.0,3506.0,3655.0,140183.0,101575.0,67868.0,34131.0,23278.0,10492.0,9263.0,10987.0
srb7_dpd4,93491.0,80904.0,125476.0,117538.0,81080.0,8235.0,6872.0,5514.0,70539.0,79481.0,89813.0,81501.0,129195.0,24212.0,17434.0,14015.0
dpd4_med4,73246.0,37659.0,32544.0,25894.0,13269.0,2744.0,1689.0,1987.0,39558.0,33550.0,22915.0,20900.0,31513.0,9075.0,6302.0,5115.0
tdh3_lge1,69901.0,52583.0,45297.0,24767.0,12634.0,1979.0,1662.0,1811.0,51949.0,47266.0,33384.0,17909.0,12535.0,6378.0,7568.0,11612.0
empty_dpd4,66202.0,37370.0,36021.0,23491.0,8442.0,1979.0,1227.0,1371.0,46342.0,31912.0,22383.0,11711.0,13173.0,4237.0,3029.0,4101.0
dpd4_lge1,64012.0,34017.0,23865.0,14876.0,5308.0,2581.0,1839.0,1677.0,57840.0,42237.0,21708.0,9826.0,10221.0,5147.0,3663.0,3642.0
tdh3_srb7,63335.0,48302.0,41832.0,19621.0,10253.0,2345.0,1709.0,1452.0,45558.0,37383.0,27746.0,17301.0,11514.0,4437.0,4154.0,4304.0
tdh3_empty,60306.0,43957.0,37136.0,18651.0,8650.0,1317.0,1173.0,1213.0,40167.0,33565.0,21507.0,11486.0,8146.0,3082.0,2729.0,2752.0
tdh3_med4,53625.0,43289.0,39011.0,22603.0,13889.0,2926.0,3034.0,2685.0,53602.0,45679.0,35127.0,21994.0,16621.0,6622.0,6548.0,7177.0
tdh3_vp16,52490.0,47414.0,44034.0,28287.0,20224.0,2320.0,2425.0,2307.0,47574.0,38612.0,34625.0,25316.0,22902.0,5451.0,5862.0,5569.0
btt1_gapdh,51099.0,35929.0,39294.0,32470.0,16667.0,2222.0,1286.0,1195.0,34437.0,32151.0,28425.0,22158.0,24890.0,5848.0,3523.0,2772.0
tdh3_gapdh,49887.0,35667.0,33082.0,17366.0,11048.0,1390.0,1110.0,1225.0,41994.0,29798.0,22481.0,13361.0,9550.0,3552.0,2561.0,2723.0
dpd4_srb7,48427.0,30474.0,19970.0,13159.0,4545.0,1534.0,1726.0,1759.0,44021.0,35471.0,18210.0,8498.0,10887.0,4795.0,3869.0,3931.0
swc5_dpd4,46051.0,23290.0,21796.0,11099.0,5504.0,1432.0,958.0,2109.0,29648.0,28654.0,16789.0,8385.0,9969.0,4585.0,3303.0,3224.0
dpd4_gapdh,44619.0,28085.0,21937.0,10358.0,4101.0,1522.0,843.0,753.0,21167.0,21157.0,10019.0,5755.0,6739.0,3118.0,1849.0,2098.0
dpd4_sfh1,43898.0,30595.0,24972.0,14971.0,9083.0,1741.0,1852.0,1072.0,40130.0,28697.0,22961.0,12984.0,13202.0,6376.0,4344.0,3549.0
dpd4_empty,42103.0,25498.0,17839.0,11271.0,5286.0,1760.0,1292.0,1064.0,39741.0,32457.0,18534.0,8299.0,8073.0,3168.0,4254.0,3441.0
btt1_lge1,40954.0,27384.0,35197.0,30428.0,14092.0,1964.0,3194.0,1769.0,28244.0,24771.0,26789.0,21527.0,32003.0,5936.0,4443.0,4197.0
tdh3_med7,38779.0,34157.0,30700.0,15825.0,9414.0,1059.0,906.0,954.0,34134.0,27225.0,23803.0,14922.0,9724.0,2882.0,2626.0,2730.0
btt1_srb7,37902.0,25548.0,38262.0,34615.0,21416.0,3754.0,2884.0,2112.0,21998.0,23510.0,24610.0,22669.0,40733.0,10735.0,7289.0,4152.0
bre2_dpd4,36789.0,22851.0,24741.0,17387.0,8299.0,2497.0,879.0,1309.0,21103.0,19098.0,14647.0,9366.0,14505.0,3407.0,3479.0,2642.0
dpd4_hat1,36256.0,21914.0,16017.0,9265.0,3945.0,849.0,846.0,767.0,26675.0,21804.0,13092.0,6074.0,6503.0,3144.0,1974.0,2255.0
tdh3_hat1,35776.0,36386.0,32240.0,17624.0,11378.0,2845.0,1689.0,1103.0,29778.0,25316.0,21032.0,12678.0,9588.0,3273.0,2443.0,2761.0
rtt102_dpd4,35266.0,35175.0,57442.0,60296.0,80485.0,4744.0,2839.0,2003.0,30983.0,34448.0,49879.0,50964.0,104108.0,9671.0,5837.0,4690.0
dpd4_med7,32924.0,17213.0,13143.0,9591.0,3967.0,1161.0,1321.0,834.0,26391.0,20323.0,14296.0,7624.0,8366.0,2398.0,2114.0,1704.0
tdh3_rpd3,32443.0,26184.0,26068.0,13178.0,7399.0,764.0,688.0,757.0,22722.0,19663.0,18050.0,10324.0,7038.0,1940.0,1920.0,1735.0
btt1_empty,32273.0,24347.0,32083.0,27310.0,13720.0,2614.0,1194.0,974.0,22702.0,23551.0,21782.0,17584.0,29148.0,6418.0,3390.0,3460.0
btt1_ies5,31557.0,27404.0,23762.0,19234.0,7918.0,975.0,902.0,500.0,17396.0,15572.0,11923.0,7225.0,8739.0,2811.0,1099.0,1329.0
btt1_mig1,31032.0,17944.0,14299.0,6379.0,3356.0,994.0,460.0,509.0,22549.0,17897.0,9931.0,3808.0,4924.0,1851.0,1980.0,1900.0
dpd4_swc5,30815.0,14890.0,11204.0,6620.0,3272.0,849.0,625.0,641.0,21766.0,14094.0,8225.0,3572.0,2942.0,1741.0,1082.0,1380.0
tdh3_hmt2,29456.0,22699.0,18343.0,11502.0,7146.0,923.0,696.0,769.0,18899.0,18095.0,11947.0,8495.0,5802.0,2115.0,1527.0,1724.0
dpd4_hmt2,29043.0,22147.0,17226.0,8605.0,4282.0,793.0,770.0,732.0,30886.0,22391.0,13995.0,6940.0,6288.0,2271.0,1434.0,1710.0
tdh3_hat2,28012.0,20144.0,19670.0,10179.0,4998.0,812.0,686.0,698.0,23256.0,19346.0,14361.0,8400.0,5774.0,1760.0,1897.0,1623.0
btt1_hat1,27306.0,20202.0,25177.0,24231.0,14270.0,2073.0,1838.0,1619.0,19638.0,25073.0,21777.0,19112.0,34141.0,4317.0,4890.0,3367.0
dpd4_hat2,27244.0,16703.0,10819.0,6065.0,2710.0,1056.0,640.0,720.0,30575.0,21286.0,15197.0,7241.0,7179.0,2361.0,1929.0,1979.0
gapdh_dpd4,26655.0,18179.0,12521.0,6234.0,4699.0,1009.0,914.0,849.0,27961.0,22822.0,14059.0,6442.0,5183.0,2487.0,2001.0,2183.0
dpd4_ies5,26619.0,14794.0,10861.0,5605.0,1381.0,511.0,460.0,621.0,25965.0,15161.0,8770.0,4554.0,3960.0,1446.0,1200.0,1358.0
htl1_dpd4,25342.0,22645.0,33057.0,30111.0,23999.0,2384.0,1594.0,1032.0,15677.0,20998.0,25475.0,21520.0,39348.0,4965.0,2574.0,2407.0
