,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,flow_seq_score
tdh3_dpd4,0.358583277524236,0.3106979470338763,0.21056056309550605,0.079459165380903,0.0175781245330996,0.009380960866913427,0.006646445743608329,0.0070935158218572054,0.16813530814988759
dpd4_dpd4,0.33223212893602444,0.3033930651269036,0.209514880888041,0.10278864304452458,0.027561783394740566,0.011036375697799375,0.00683591104853154,0.006637211863434986,0.1833848167771075
tdh3_vp16,0.3371646692651936,0.31266498588619496,0.22733798002759847,0.08423837527118395,0.01953488907422726,0.00862440200551705,0.005577483308562306,0.0048572151615223795,0.1726832920087812
tdh3_lge1,0.3343795414839762,0.306701934369484,0.22130200499571093,0.09603760516745502,0.01787127141862565,0.00921412742033711,0.007032855411998638,0.007460659732412441,0.1784851761769054
tdh3_med4,0.32204348011420403,0.31571512424493486,0.21394169621474876,0.0893520692783479,0.02142434040144199,0.014980064303674618,0.011911848847126007,0.010631376595521757,0.18830616241214648
tdh3_srb7,0.33469150241406664,0.31794687032787694,0.2170591606173316,0.09131869274595988,0.018244844191228606,0.010540121741150672,0.005330893256469025,0.004867914705916694,0.17396600253590264
dpd4_srb7,0.32944310713058667,0.32102096831111104,0.19890474293367225,0.1070418333540138,0.023687940468280176,0.009077793087556865,0.005403474343649746,0.005420140371129522,0.17863693003017245
dpd4_empty,0.3537343532119275,0.30001416717758234,0.21438267420455773,0.09125505155528105,0.019771554410498042,0.009574001610618943,0.006074340752931442,0.005193857076603019,0.17175770571449106
dpd4_med4,0.3211318782248631,0.2854715079660013,0.22512406446485048,0.11570029458927816,0.029464513969538926,0.010475889111410782,0.006489403545787054,0.006142448128270084,0.19071308289590846
tdh3_empty,0.3680488001830211,0.3094859094698966,0.20902302412027646,0.07700104808158716,0.018318878087421595,0.007968966247722722,0.005320802418721316,0.004832571391353079,0.1624868942564729
tdh3_gapdh,0.35096525909580367,0.30282015819470776,0.2162534648343768,0.09014195930482014,0.019160028673264082,0.01015564720547256,0.005479787318725312,0.005023695372829833,0.17160227257435734
dpd4_lge1,0.3225939670191664,0.30804900887005726,0.21013038214768862,0.10809073692646948,0.026797432348846545,0.010760114628679054,0.008115077306180031,0.005463280752912594,0.18578653079872753
tdh3_snf11,0.2736743265991762,0.3113522181592645,0.2567790499327843,0.11626266804135171,0.02066279626098911,0.0093107189381916,0.006347783479977739,0.00561043858826497,0.19718041041164625
tdh3_med7,0.3426911334545243,0.3247012219666089,0.21805170686704212,0.07851886391734715,0.017133674399558534,0.008251192261142558,0.005330752153240972,0.0053214549805354555,0.16791236916283933
dpd4_vp16,0.29209901139496297,0.29195263993411363,0.22848084183823653,0.13438683034837415,0.029149949883528835,0.011536905128282768,0.006909976650125037,0.005483844822376101,0.20088655906980302
nhp10_dpd4,0.29820977096205126,0.31743979426704944,0.24842815912945299,0.09106286003675673,0.02111798735564152,0.011584046533638735,0.006833073400791919,0.0053243083146174534,0.18687792476200837
tdh3_cdc36,0.3490835767162159,0.3158878552742529,0.22216107165365573,0.07687901435333573,0.01591367052134838,0.007917263374955685,0.006058953287794695,0.006098594818441055,0.16759027486537126
tdh3_hat1,0.3151384611777066,0.3019804147213032,0.24544632579794554,0.09799109199609096,0.02079039911578149,0.00860735413257868,0.005149998646591917,0.004895954412001628,0.18260234031357847
gapdh_dpd4,0.3642004134470548,0.3155934095739004,0.20916770416188407,0.07896580831491959,0.014501658394429108,0.007486364112419821,0.005552687855781673,0.00453195413961063,0.16161492901345817
dpd4_hat1,0.3334389523783781,0.3014237146506412,0.20959685940433462,0.10526484456921634,0.02627244174531866,0.011170638199784285,0.006953053552126474,0.005879495500200329,0.18288995928018809
tdh3_hmt2,0.32506088869344496,0.30958775024699564,0.22307954077112824,0.1060581879037707,0.018121803830451356,0.007731835484788665,0.005368513131973508,0.004991479937446971,0.17888846094289754
sir2_dpd4,0.3766177455369455,0.3177119475489796,0.20019534801346855,0.06781211799344591,0.014326485976311466,0.009949724472498209,0.006883258395522825,0.006503372062827983,0.1593452455195606
dpd4_med7,0.33743801212191193,0.2795902941435049,0.20863917229594503,0.11586773649034712,0.03094362717725417,0.01534733244993737,0.006260471659000668,0.005913353662098807,0.1891341892505479
dpd4_rpd3,0.3371406263869958,0.28771238055934273,0.21379698691879662,0.10823839252038683,0.02598757761235128,0.014501336006411087,0.007503362049619431,0.00511933794609616,0.18533343719427808
tdh3_mig1,0.3742251389792715,0.3302820518703587,0.19710599136150003,0.06584166516606427,0.013940415812133431,0.00877413049512277,0.005291758689031996,0.004538847626517288,0.1550248330479303
dpd4_sfh1,0.27976732844370433,0.3043709526765033,0.22978503383421284,0.1347135466656454,0.025972283654693208,0.01207875248855949,0.007365755891045368,0.005946346345635922,0.20259764530987992
tdh3_sus1,0.32361393838195535,0.3042719628941213,0.23386290336292653,0.09894343130598215,0.021127192683015113,0.008432228667582423,0.004884916575099705,0.004863426129317304,0.17983592285195896
tdh3_sfh1,0.31835195365753144,0.30440680207259707,0.2515827199744131,0.08784917453113164,0.01868229074593005,0.00869715062752838,0.005378098943162607,0.005051809447705697,0.1795665630755851
tdh3_rpd3,0.3048600730996674,0.3080015089794138,0.23289310609752092,0.10931380309468865,0.024155545716812415,0.00994196970361631,0.005586380703916705,0.0052476126043638355,0.1883303906139857
