,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,flow_seq_score_rep_1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2,flow_seq_score_rep_2
vp16_ies5,0.3368163103138112,0.3722206852687007,0.15428151519707156,0.08805110359189344,0.04838012704126827,0.0002502585872548941,0.16281554679141022,0.07503905153832328,0.25818613767193466,0.19721040409407087,0.24254680218227576,0.22542185271139345,0.0015957518020020007,0.32713050318035536
hat2_hmt2,0.040173155139665434,0.3388671395130335,0.3399212804151455,0.18075647349609308,0.10011949586945584,0.00016245556660658588,0.28032419744892284,0.08504687534764993,0.22306616153794198,0.22584331040119154,0.23764776560461898,0.22581662778044734,0.0025792593281501576,0.3291226981309603
nut2_vp16,0.3884449754814295,0.29526258993386567,0.17873274520216414,0.07171766424787898,0.0654233889240013,0.00041863621066047713,0.16166682997587695,0.07713523047108482,0.26353819800807393,0.2146725180104995,0.21657949927983206,0.2267748946808595,0.0012996595496502022,0.32231708690575117
btt1_nhp6a,0.2701444404991539,0.35172983273147185,0.19571296550120357,0.11047938815282443,0.07176518033732783,0.00016819277801838388,0.19464223049025076,0.08573970707051645,0.2370039169317196,0.22319949022971436,0.22232835673009252,0.22931840778941556,0.0024101212485413523,0.32567317214025643
vps71_dpd4,0.2788984810021413,0.23725371229838538,0.174661211509107,0.13926395586952386,0.16973959826045049,0.0001830410603919325,0.24060594303841892,0.113444025366454,0.2234006131078524,0.21524598845457554,0.22302613362661242,0.22248552253987178,0.002397716904633895,0.3178430950827853
btt1_DAM,0.1730796395608141,0.3152705002566207,0.2083024637053881,0.17962822180901797,0.12330205796427587,0.00041711670388312245,0.2522934154958528,0.09229370195031415,0.23267283513482687,0.20967730766430792,0.2046092036683,0.2578063982391722,0.0029405533430789787,0.33025477444863227
bre2_dpd4,0.18720441051496953,0.2655455104757661,0.1927360656135197,0.1522405859250119,0.201937505576581,0.00033592189415181854,0.27388129017927487,0.08291896931508806,0.2391996455063253,0.22631955792549147,0.22680262859652447,0.22378718787365323,0.0009720107829175528,0.32460792179372605
swc5_gapdh,0.3527441656433052,0.31159690647233695,0.16608486875313075,0.08962597832351636,0.07963544440673824,0.00031263640097265745,0.1761070769401377,0.0842422723676904,0.19681498227548352,0.23799115321954498,0.22422248323795213,0.25517610189491713,0.0015530070044117092,0.33913345443287957
med4_med4,0.07995749325958039,0.19494746523472245,0.28002036487050685,0.24168206839022277,0.2026691698335765,0.0007234384113912526,0.3277611816482381,0.08520538844664245,0.21890306725293993,0.24610969526675625,0.21813831723570384,0.22946950656575038,0.0021740252322070054,0.3277550802739429
swc5_dpd4,0.19220091491711008,0.22058971540832273,0.24859174444993415,0.20031785713004802,0.13792049584447552,0.0003792722501095898,0.26747216004668356,0.0888911925604636,0.24774646754232207,0.2816642576316679,0.19418290438312535,0.18645801276518972,0.001057165117231295,0.3063916532288499
btt1_cdc36,0.14392606332868207,0.42936329023381076,0.19178736040491717,0.11959766134876251,0.11469972134229253,0.0006259033415347978,0.23337991388096807,0.045759695143166225,0.14830716937962907,0.20046941501815665,0.21889820906586996,0.3691479053393505,0.017417606053827698,0.39566003974858466
med7_gapdh,0.5115757085258189,0.23520468241328382,0.09232842860091843,0.07122612476798501,0.08933300020345407,0.0003320554885397434,0.1417903131679415,0.10163777041687373,0.2236251541066615,0.23804949731126798,0.20686706972409777,0.2285176197698646,0.0013028886712343685,0.32013004004816015
snf11_sus1,0.20949704223116808,0.3753978583539817,0.20476872613538943,0.12538957452919502,0.0845422026038959,0.00040459614636977124,0.214470832194254,0.10570241920352785,0.2219571409574354,0.2075906394038017,0.28330649748442766,0.18080449547840363,0.0006388074724035822,0.316209990213422
htl1_swc5,0.09384694072423108,0.20821051561466775,0.2316780841831026,0.19656873505407915,0.26628893103677986,0.0034067933871395465,0.3347803686037039,0.08271388514282203,0.22317215324950132,0.22480355100448807,0.23875601204348645,0.22788793954408204,0.002666459015619932,0.3305616206633377
btt1_mig1,0.254324746729288,0.321444344840935,0.17002973933325802,0.14576458786393204,0.1076426718054619,0.0007939094271251131,0.21904826020810292,0.09358125175416754,0.18087275705656244,0.2672672114756476,0.2120608215126892,0.24517313071636862,0.0010448274845646377,0.3339294721191746
vp16_dpd4,0.04581153305697151,0.12542903402416242,0.17845389859047497,0.23487716521258228,0.4011745903667447,0.014253778749064071,0.4089907974364511,0.08701125443111987,0.24561493057492834,0.2141914268332539,0.2379010422472304,0.21349053982047608,0.0017908060929914904,0.32151672867571274
snf11_dpd4,0.07331017443626747,0.24800235080183933,0.25911692251489254,0.24752313178107366,0.1711632758275042,0.0008841446384227821,0.3139827739538537,0.09075465200566771,0.24933256909885299,0.23481952989388288,0.24848092116095602,0.17605403303067033,0.0005582948099701452,0.3102031426488598
hst2_lge1,0.08301458069658357,0.1964798434474315,0.24872253466690894,0.23719973205691408,0.2323544710280407,0.0022288381041212836,0.33515516908353726,0.07060356364095897,0.20197032370004828,0.21480110860941656,0.28821246737346273,0.2226157048010202,0.0017968318750931874,0.34223670308840226
dpd4_nhp10,0.5463741207704009,0.044463853754524135,0.15381189343776086,0.11172435309154524,0.14338262364790585,0.00024315529786289903,0.18028671014080278,0.08486057866609724,0.22696886773065347,0.25507637628378693,0.23788661029284897,0.19405951695252455,0.0011480500740888918,0.3189656813367595
