,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2
vp16_ies5,176184.0,86775.0,37108.0,14551.0,11518.0,4075.0,6361.0,7296.0,6884.0,7514.0,8025.0,4172.0
hat2_hmt2,74681.0,280753.0,290558.0,106158.0,84709.0,9401.0,10705.0,9360.0,11706.0,10932.0,11937.0,10013.0
nut2_vp16,73446.0,24881.0,15539.0,4284.0,5630.0,2464.0,4095.0,4664.0,4693.0,4202.0,5056.0,2128.0
btt1_nhp6a,72700.0,42186.0,24218.0,9393.0,8790.0,1409.0,1834.0,1690.0,1966.0,1738.0,2060.0,1590.0
vps71_dpd4,60842.0,23067.0,17520.0,9598.0,16853.0,1243.0,2387.0,1567.0,1865.0,1715.0,1966.0,1556.0
btt1_DAM,51333.0,41673.0,28407.0,16831.0,16644.0,3851.0,4668.0,3923.0,4367.0,3782.0,5476.0,4587.0
bre2_dpd4,36521.0,23088.0,17289.0,9383.0,17930.0,2040.0,5164.0,4966.0,5804.0,5162.0,5853.0,1867.0
swc5_gapdh,34832.0,13713.0,7541.0,2796.0,3579.0,961.0,2749.0,2141.0,3198.0,2674.0,3497.0,1563.0
med4_med4,32924.0,35776.0,53018.0,31440.0,37982.0,9273.0,8373.0,7171.0,9959.0,7834.0,9470.0,6589.0
swc5_dpd4,31810.0,16271.0,18918.0,10474.0,10389.0,1954.0,7969.0,7404.0,10398.0,6362.0,7020.0,2923.0
btt1_cdc36,30523.0,40582.0,18702.0,8013.0,11071.0,4132.0,9985.0,10788.0,18013.0,17456.0,33828.0,117218.0
med7_gapdh,30487.0,6247.0,2530.0,1341.0,2423.0,616.0,2026.0,1486.0,1954.0,1507.0,1913.0,801.0
snf11_sus1,27479.0,21945.0,12350.0,5196.0,5047.0,1652.0,6540.0,4578.0,5289.0,6406.0,4698.0,1219.0
htl1_swc5,25509.0,25223.0,28956.0,16880.0,32943.0,28826.0,9398.0,8453.0,10518.0,9914.0,10874.0,9344.0
btt1_mig1,23350.0,13153.0,7178.0,4228.0,4498.0,2269.0,6174.0,3978.0,7261.0,5113.0,6793.0,2126.0
vp16_dpd4,22662.0,27653.0,40591.0,36707.0,90322.0,219492.0,25444.0,23943.0,25792.0,25424.0,26218.0,16151.0
snf11_dpd4,21714.0,32738.0,35290.0,23162.0,23074.0,8152.0,36494.0,33423.0,38883.0,36516.0,29731.0,6924.0
hst2_lge1,21501.0,22680.0,29621.0,19409.0,27390.0,17970.0,1962.0,1871.0,2458.0,2927.0,2598.0,1540.0
dpd4_nhp10,20789.0,754.0,2691.0,1343.0,2483.0,288.0,858.0,765.0,1062.0,879.0,824.0,358.0
vp16_vp16,18655.0,11223.0,11916.0,9437.0,21441.0,23803.0,6754.0,6146.0,7698.0,7195.0,8458.0,3647.0
tdh3_dpd4,17617.0,19935.0,20592.0,14338.0,19802.0,10312.0,23418.0,20198.0,27662.0,23213.0,25668.0,16552.0
tdh3_snf11,16018.0,18787.0,18732.0,13396.0,18980.0,12019.0,43035.0,35554.0,33819.0,21939.0,24900.0,14972.0
btt1_arp9,15934.0,8194.0,4936.0,3275.0,2756.0,695.0,749.0,743.0,1024.0,860.0,1009.0,644.0
ldb7_srb7,15759.0,1627.0,2459.0,1067.0,706.0,185.0,249.0,221.0,254.0,259.0,268.0,241.0
spp1_hat2,15612.0,15150.0,11064.0,6764.0,5419.0,718.0,2390.0,1703.0,2104.0,1871.0,2233.0,1273.0
srb7_med4,13437.0,12976.0,14093.0,9285.0,13931.0,7288.0,15049.0,12036.0,16733.0,14655.0,17976.0,23719.0
btt1_swc5,13167.0,8828.0,4999.0,3722.0,3764.0,1015.0,2031.0,2752.0,3385.0,2546.0,3091.0,2480.0
srb7_gapdh,11150.0,6517.0,7399.0,5752.0,8328.0,2499.0,16161.0,13338.0,16903.0,19771.0,16505.0,4881.0
srb7_dpd4,10890.0,15121.0,17028.0,13505.0,17779.0,7787.0,22846.0,21839.0,26133.0,24399.0,27351.0,11396.0
srb7_lge1,9954.0,13953.0,12347.0,8065.0,10348.0,2849.0,13995.0,13936.0,15037.0,13638.0,12791.0,3398.0
nut2_med7,9931.0,12145.0,12225.0,8164.0,12425.0,9259.0,12510.0,10595.0,13703.0,12497.0,13060.0,12793.0
rtt102_ada2,9927.0,6886.0,6224.0,4781.0,5385.0,2910.0,1824.0,1688.0,2152.0,1802.0,1748.0,1116.0
tdh3_vp16,9826.0,12344.0,12435.0,8371.0,12474.0,8054.0,13747.0,11980.0,15621.0,13661.0,15436.0,11173.0
srb7_snf11,9455.0,12545.0,11598.0,9395.0,12946.0,5788.0,20165.0,16835.0,18688.0,16440.0,17415.0,35431.0
rtt102_gcn5,9020.0,17648.0,12366.0,7006.0,4365.0,775.0,1341.0,1151.0,1454.0,1486.0,1836.0,979.0
med4_dpd4,9005.0,11945.0,15271.0,11911.0,23056.0,36851.0,16884.0,14638.0,19171.0,15252.0,15885.0,15433.0
rtt102_dpd4,8843.0,11483.0,13168.0,9722.0,12943.0,5277.0,14386.0,11087.0,14244.0,11988.0,13686.0,6253.0
