,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,flow_seq_score_rep_1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2,flow_seq_score_rep_2
hat2_hmt2,0.13828219529518723,0.335108482144101,0.19795728464823986,0.213641639820893,0.11460572803123381,0.0004046700603451236,0.2617706047614172,0.0540386631757689,0.23899285637642156,0.23454078421307684,0.24758017072534808,0.22198617041289617,0.002861355096488461,0.33615234201609234
vp16_ies5,0.4600945717297612,0.2461017453231528,0.12949944203291944,0.09661943467852305,0.06720714426116943,0.0004776619744741932,0.15231083147737276,0.06581498709414157,0.32225658832315424,0.23231919364958212,0.2029835657132098,0.1746900440531415,0.0019356211667707372,0.30061199354405255
tdh3_dpd4,0.10480369360691201,0.2735641247111727,0.22152775513273182,0.22220240409076086,0.17720303601010828,0.0006989864483143095,0.2993619890758462,0.05675436713150503,0.23483664315963224,0.29268436109765356,0.23253076199088127,0.18267008825475564,0.0005237783655723088,0.32158527088206673
swc5_dpd4,0.22809369348028644,0.22661825073873693,0.18987806028069557,0.18292245503128418,0.17170784114015858,0.00077969932883839,0.2636959425141152,0.07313552001453939,0.252494412308368,0.23862036601801315,0.21558399028412106,0.21934087383105197,0.0008248375439063906,0.322567828320071
snf11_dpd4,0.12539134157960513,0.355102653156641,0.25542539258435526,0.158034411844518,0.10528081873870486,0.0007653820961756293,0.2521438370420862,0.11157851480974289,0.3810560825698713,0.2109716473698826,0.15808013144430205,0.13773029452405078,0.0005833292821504205,0.2615825137356425
rtt102_dpd4,0.13176025530169425,0.24732704036934722,0.20429122211293207,0.23313520601860166,0.18273818749403095,0.000748088703394118,0.298572613734873,0.06930944697941019,0.22386094215503147,0.26616907365095627,0.22287406312776223,0.21668050663486704,0.001105967451972962,0.32815330609136617
tdh3_snf11,0.08506472092845825,0.27364195113828954,0.24861701719937235,0.2195170951428545,0.171954667633529,0.0012045479574964103,0.3033240973267422,0.0653418189323809,0.2500106810378898,0.28768923156256726,0.2284675555666728,0.16745624856411445,0.0010344643363748014,0.3122555895430535
bre2_dpd4,0.24170251989615374,0.19600426129593837,0.1777733423947205,0.1938932933152017,0.19001847505037345,0.0006081080476122042,0.2709064666386484,0.0559824454472049,0.2716869299737486,0.21392106500534588,0.25294264345989015,0.20174345712420103,0.0037234589896093235,0.3262783019727088
nut2_vp16,0.2858358093274682,0.28788632931624375,0.16438235004006363,0.1406644653500905,0.12009518390379309,0.0011358620623407437,0.2178149244819312,0.07802410320435238,0.2505877268240205,0.22264451894021675,0.21394096565591886,0.2318844740518431,0.002918211323648569,0.325689802071118
btt1_cdc36,0.1663525332904338,0.13093660759394304,0.1574753337855272,0.2325557641198157,0.3115278093628471,0.0011519518474331243,0.34220365203042835,0.030087345538034656,0.1385627207640379,0.1716916564614007,0.1932034810361701,0.4219227836873129,0.044532012513043666,0.4245582391585456
btt1_DAM,0.17866426610632197,0.22457116544350617,0.2221635992687835,0.23523306676994024,0.1388041645130613,0.0005637378983867793,0.27609041597643896,0.05565092675052744,0.2452529924275199,0.22127313460790804,0.24677275514325378,0.22890640631520584,0.0021437847555850604,0.33635172515883516
med4_med4,0.06935414080243898,0.15349952493694288,0.19277059136666064,0.2972285273375513,0.2856775739934156,0.0014696415629907639,0.36868354192450487,0.046965165364135135,0.2259038098168707,0.22294644428005478,0.24675839515254186,0.2555400949447601,0.001886090441637425,0.34909467368883335
btt1_dpd4,0.08768096121507822,0.2314497588856032,0.2569793251121503,0.23587773760319186,0.18710988925263985,0.0009023279313364696,0.3151418312266744,0.07208712772848554,0.25390649468039045,0.22548214226590835,0.226659676555207,0.21439478886005567,0.0074697699099530385,0.3256825448382594
tdh3_lge1,0.09110626831746922,0.23533412098647244,0.23774167238286364,0.23327402729476485,0.20172854364583942,0.0008153673725905064,0.3173757941546863,0.043245913212790886,0.19322023899920818,0.2394614808020293,0.23682078148007243,0.2844638729776645,0.0027877125282346257,0.36205708565647354
