,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2
hat2_hmt2,136745.0,110655.0,79594.0,66693.0,40113.0,11260.0,8625.0,6681.0,9532.0,8877.0,9323.0,12557.0
vp16_ies5,102183.0,18251.0,11694.0,6774.0,5283.0,2985.0,6088.0,5221.0,5472.0,4218.0,4252.0,4923.0
tdh3_dpd4,51757.0,45112.0,44482.0,34641.0,30974.0,9713.0,58983.0,42746.0,77453.0,54288.0,49954.0,14967.0
swc5_dpd4,33654.0,11165.0,11391.0,8520.0,8967.0,3237.0,8120.0,4910.0,6746.0,5377.0,6408.0,2518.0
snf11_dpd4,32378.0,30618.0,26817.0,12882.0,9622.0,5561.0,40224.0,24060.0,19366.0,12802.0,13065.0,5782.0
rtt102_dpd4,30659.0,19217.0,19328.0,17125.0,15050.0,4898.0,24299.0,13746.0,23761.0,17553.0,19989.0,10661.0
tdh3_snf11,27369.0,29399.0,32524.0,22296.0,19582.0,10905.0,41388.0,27736.0,46400.0,32509.0,27910.0,18016.0
bre2_dpd4,24621.0,6667.0,7363.0,6235.0,6851.0,1743.0,4000.0,3400.0,3892.0,4060.0,3793.0,7315.0
nut2_vp16,23038.0,7748.0,5387.0,3579.0,3426.0,2576.0,4583.0,2578.0,3330.0,2823.0,3584.0,4713.0
btt1_cdc36,19800.0,5204.0,7621.0,8738.0,13124.0,3858.0,7048.0,5685.0,10241.0,10167.0,26007.0,286823.0
btt1_DAM,19587.0,8221.0,9903.0,8141.0,5386.0,1739.0,2332.0,1800.0,2361.0,2323.0,2524.0,2470.0
med4_med4,19433.0,14362.0,21962.0,26291.0,28332.0,11587.0,5624.0,4738.0,6798.0,6638.0,8052.0,6210.0
btt1_dpd4,19163.0,16891.0,22836.0,16274.0,14474.0,5549.0,31778.0,19604.0,25310.0,22446.0,24869.0,90539.0
tdh3_lge1,18914.0,16314.0,20068.0,15288.0,14823.0,4763.0,28199.0,22067.0,39759.0,34690.0,48808.0,49980.0
tdh3_vp16,18659.0,19110.0,22201.0,19100.0,18900.0,7454.0,21914.0,18365.0,35754.0,29916.0,27856.0,15066.0
vp16_dpd4,18442.0,16583.0,20733.0,23406.0,42435.0,44527.0,15279.0,11419.0,13247.0,12245.0,13711.0,8224.0
swc5_gapdh,16369.0,4082.0,4251.0,2413.0,2786.0,1532.0,2228.0,1827.0,2174.0,2266.0,2452.0,1273.0
snf11_snf11,16073.0,17428.0,17054.0,9297.0,7049.0,3136.0,17426.0,11847.0,10602.0,9003.0,8435.0,7595.0
rtt102_srb7,15479.0,8230.0,10544.0,9386.0,10238.0,2731.0,11630.0,5679.0,12856.0,10037.0,10439.0,3815.0
gapdh_dpd4,15174.0,12273.0,13509.0,8430.0,8159.0,2038.0,10273.0,7241.0,12440.0,8375.0,8261.0,3056.0
btt1_mig1,14774.0,3967.0,4354.0,3481.0,3071.0,1559.0,3619.0,2525.0,4455.0,4155.0,5217.0,13543.0
srb7_dpd4,14340.0,17344.0,24637.0,16373.0,14963.0,10059.0,18601.0,16878.0,20794.0,19812.0,23402.0,23784.0
rtt102_ada2,13716.0,5569.0,5126.0,4355.0,3513.0,823.0,1863.0,1296.0,2024.0,2114.0,2019.0,3850.0
snf11_sus1,13473.0,8134.0,5266.0,2263.0,2397.0,1001.0,3873.0,4004.0,3026.0,2559.0,2397.0,1547.0
btt1_nhp6a,13288.0,3211.0,4289.0,4288.0,2950.0,1308.0,1581.0,1079.0,1515.0,1410.0,1515.0,1992.0
med4_dpd4,13156.0,11178.0,14672.0,12607.0,21572.0,38934.0,14821.0,9568.0,13458.0,12152.0,16318.0,20070.0
htl1_swc5,12666.0,9205.0,12537.0,15368.0,24859.0,54169.0,8770.0,5928.0,9647.0,8050.0,9675.0,14165.0
tdh3_med4,12661.0,12840.0,17123.0,14026.0,14342.0,5144.0,18382.0,16980.0,34039.0,26291.0,23491.0,9627.0
dpd4_dpd4,12117.0,11525.0,16471.0,10488.0,10717.0,3327.0,16593.0,12347.0,17777.0,14525.0,16517.0,17540.0
btt1_arp9,11894.0,3031.0,2550.0,2306.0,2201.0,479.0,538.0,563.0,781.0,740.0,781.0,1024.0
sir2_dpd4,11848.0,8965.0,10514.0,7489.0,7351.0,2438.0,14145.0,8955.0,11170.0,8649.0,7336.0,2810.0
vps71_dpd4,11377.0,7919.0,6132.0,6457.0,5149.0,977.0,1646.0,1120.0,1557.0,1527.0,1534.0,1817.0
rtt102_med4,10994.0,7683.0,9229.0,8890.0,8048.0,2469.0,9175.0,5439.0,10537.0,10142.0,9956.0,3396.0
tdh3_gapdh,10630.0,10571.0,11448.0,9205.0,8301.0,2521.0,12443.0,10332.0,17978.0,13037.0,12111.0,3705.0
srb7_med4,10481.0,11015.0,13816.0,10913.0,13105.0,8621.0,11238.0,9295.0,14212.0,12004.0,15711.0,15208.0
tdh3_srb7,10205.0,10115.0,13067.0,9893.0,8856.0,2898.0,13368.0,11168.0,21125.0,15172.0,14250.0,8013.0
nut2_med7,9992.0,8926.0,10290.0,8104.0,8821.0,8576.0,11299.0,7359.0,11241.0,9902.0,11837.0,13826.0
dpd4_srb7,9842.0,8258.0,11670.0,7971.0,9094.0,2517.0,5790.0,4481.0,6664.0,5365.0,6564.0,6575.0
spp1_hat2,9727.0,4610.0,4823.0,3191.0,2734.0,569.0,1301.0,1065.0,1473.0,1331.0,1567.0,884.0
dpd4_vp16,9577.0,7696.0,9287.0,6448.0,6435.0,3377.0,5640.0,3746.0,5029.0,4811.0,5782.0,5213.0
rtt102_cdc36,9284.0,2341.0,2254.0,2490.0,1880.0,800.0,1132.0,769.0,1681.0,1228.0,1744.0,1145.0
btt1_ies5,8969.0,1945.0,3001.0,1786.0,1741.0,821.0,2734.0,1973.0,2783.0,2686.0,2331.0,1141.0
rtt102_lge1,8711.0,6302.0,6599.0,6268.0,5430.0,3663.0,16381.0,6824.0,10316.0,8139.0,8551.0,2231.0
eaf5_lge1,8581.0,5243.0,6978.0,10396.0,24348.0,163728.0,3378.0,2296.0,3565.0,3086.0,3505.0,5768.0
rtt102_empty,8579.0,4301.0,5628.0,4451.0,5808.0,2108.0,12547.0,7334.0,11021.0,8809.0,8920.0,3086.0
tdh3_empty,8478.0,9237.0,10340.0,8074.0,6892.0,2260.0,12040.0,8766.0,14913.0,10992.0,9817.0,3637.0
snf11_gapdh,8391.0,7744.0,7904.0,3729.0,2802.0,1167.0,4775.0,4278.0,3611.0,3314.0,2936.0,1230.0
srb7_lge1,8345.0,7536.0,10993.0,8421.0,9681.0,2291.0,10397.0,7418.0,10084.0,8961.0,11085.0,19408.0
hmt2_hat1,8123.0,5984.0,6166.0,5532.0,4075.0,1193.0,1133.0,815.0,1514.0,1189.0,1254.0,719.0
btt1_swc5,7896.0,2683.0,2768.0,3058.0,3452.0,902.0,2071.0,1992.0,2385.0,2460.0,2406.0,1771.0
vp16_med7,7752.0,5272.0,7894.0,10240.0,24953.0,41489.0,3059.0,2527.0,3457.0,3197.0,3693.0,3434.0
vp16_vp16,7699.0,5200.0,6125.0,5465.0,8994.0,10720.0,5143.0,3010.0,3168.0,3668.0,4091.0,2679.0
tdh3_eaf3,7540.0,6185.0,7420.0,5926.0,4150.0,1126.0,8158.0,6071.0,12831.0,8437.0,9810.0,1785.0
tdh3_cdc36,7468.0,5512.0,5576.0,3946.0,4397.0,1798.0,14719.0,12779.0,24388.0,15370.0,15369.0,3187.0
dpd4_gapdh,7464.0,5225.0,9950.0,11753.0,29118.0,99898.0,6045.0,4387.0,5796.0,5219.0,5742.0,5534.0
hst2_lge1,7273.0,4232.0,5461.0,3725.0,4431.0,9880.0,1713.0,1188.0,1589.0,1396.0,1508.0,1836.0
btt1_vp16,7238.0,6719.0,9213.0,6256.0,7201.0,4220.0,11759.0,7996.0,14035.0,13174.0,22322.0,8093.0
vp16_nhp6a,7147.0,6641.0,7836.0,5827.0,6483.0,6400.0,8092.0,5215.0,8020.0,7254.0,8299.0,10125.0
dpd4_med4,7114.0,6254.0,8098.0,6622.0,7843.0,2377.0,7794.0,4095.0,6429.0,6326.0,6820.0,10035.0
tdh3_sus1,7101.0,7567.0,9371.0,6856.0,6181.0,1902.0,6366.0,5075.0,9445.0,7027.0,6257.0,2628.0
ada2_swc5,7088.0,3302.0,2511.0,1813.0,1364.0,347.0,945.0,625.0,640.0,561.0,904.0,483.0
srb7_vp16,7003.0,7902.0,10732.0,7279.0,8625.0,5886.0,9977.0,7715.0,11532.0,14031.0,22162.0,13198.0
tdh3_hat1,6979.0,6445.0,7391.0,6208.0,5426.0,1700.0,9761.0,8524.0,19295.0,14408.0,15526.0,3221.0
rtt102_snf11,6942.0,7442.0,9254.0,5950.0,4646.0,2481.0,7056.0,6217.0,9287.0,7502.0,8378.0,7065.0
tdh3_med7,6770.0,6793.0,7983.0,6220.0,5780.0,2823.0,13381.0,10079.0,17942.0,12915.0,14133.0,4666.0
rtt102_vp16,6705.0,4802.0,5595.0,4818.0,4935.0,2465.0,12025.0,6073.0,11168.0,10040.0,10963.0,3967.0
srb7_snf11,6558.0,9418.0,14443.0,7868.0,8381.0,4998.0,7589.0,7634.0,8695.0,8415.0,9600.0,11337.0
rtt102_gapdh,6390.0,5481.0,6437.0,4778.0,4906.0,1005.0,8572.0,4269.0,8704.0,7314.0,7214.0,4719.0
btt1_med4,6366.0,5974.0,8440.0,7208.0,7181.0,4607.0,4484.0,4206.0,6174.0,5968.0,7075.0,5255.0
snf11_srb7,6358.0,6623.0,7240.0,4206.0,3883.0,2382.0,10034.0,8172.0,8747.0,8800.0,16822.0,5800.0
ada2_dpd4,6354.0,6192.0,6768.0,3740.0,3100.0,3229.0,14149.0,8243.0,9460.0,8858.0,8914.0,15906.0
gapdh_vp16,6334.0,4691.0,5859.0,5441.0,8018.0,17676.0,6697.0,4272.0,6921.0,5754.0,5055.0,3283.0
nut2_dpd4,6246.0,6974.0,8155.0,5462.0,5520.0,3761.0,94800.0,21652.0,22169.0,13918.0,17761.0,9381.0
tdh3_hmt2,6130.0,5264.0,5675.0,3914.0,4237.0,1219.0,10340.0,7720.0,12380.0,9985.0,8831.0,1832.0
rtt102_hat2,6017.0,4087.0,4596.0,4151.0,3480.0,3083.0,5328.0,4377.0,6622.0,5538.0,6127.0,3909.0
tdh3_nut2,5990.0,6147.0,8149.0,5797.0,5577.0,1491.0,9745.0,8557.0,15409.0,10389.0,10538.0,2330.0
rtt102_swc5,5956.0,3226.0,2576.0,2541.0,2153.0,1172.0,3269.0,1777.0,2812.0,3097.0,2694.0,4117.0
empty_dpd4,5950.0,5608.0,7019.0,4629.0,4969.0,2619.0,6999.0,4189.0,5395.0,5211.0,5152.0,7035.0
tdh3_bre2,5813.0,4790.0,6812.0,9665.0,19129.0,36070.0,6703.0,5682.0,10809.0,8300.0,8853.0,2461.0
snf11_empty,5693.0,5016.0,5417.0,2833.0,2312.0,981.0,12354.0,7472.0,5460.0,4178.0,3676.0,2067.0
srb7_gapdh,5634.0,5956.0,9809.0,6319.0,6891.0,3491.0,26115.0,6469.0,10580.0,9299.0,23108.0,6265.0
tdh3_hat2,5612.0,6450.0,8051.0,11051.0,16122.0,35937.0,7786.0,6618.0,12929.0,8361.0,7964.0,4698.0
srb7_hat2,5195.0,3534.0,4073.0,4059.0,3005.0,875.0,3778.0,3352.0,3966.0,3803.0,4136.0,1328.0
snf11_med4,5090.0,6454.0,5865.0,3508.0,2819.0,1327.0,7361.0,6151.0,5518.0,4212.0,4344.0,7777.0
tdh3_mig1,5074.0,6182.0,6486.0,4901.0,4571.0,1237.0,6720.0,5496.0,10499.0,7383.0,7871.0,6935.0
med4_DAM,5039.0,3943.0,5513.0,4237.0,4681.0,5711.0,5651.0,4048.0,5785.0,4918.0,6259.0,7640.0
rtt102_hmt2,4967.0,2839.0,3622.0,2583.0,2514.0,615.0,4016.0,2484.0,4674.0,3894.0,4767.0,5546.0
snf11_vp16,4941.0,6254.0,6370.0,3604.0,2947.0,1822.0,7441.0,4302.0,4270.0,3337.0,4837.0,2136.0
dpd4_empty,4801.0,3641.0,4455.0,3434.0,3449.0,1471.0,8520.0,3463.0,4963.0,4999.0,5108.0,3244.0
gapdh_snf11,4684.0,4703.0,5085.0,3113.0,2557.0,1428.0,3499.0,3207.0,5481.0,4056.0,3314.0,2195.0
tdh3_ies5,4674.0,3160.0,3771.0,2421.0,1953.0,872.0,6265.0,3707.0,5433.0,2792.0,2431.0,1466.0
btt1_snf11,4667.0,7254.0,10420.0,5467.0,4843.0,2848.0,4548.0,4906.0,5442.0,5012.0,5786.0,3680.0
srb7_nut2,4543.0,4385.0,7169.0,4784.0,5185.0,1457.0,2189.0,1776.0,3239.0,2794.0,3517.0,3313.0
tdh3_sfh1,4449.0,6061.0,8447.0,8387.0,9050.0,1825.0,4227.0,4098.0,8836.0,8109.0,9577.0,4767.0
dpd4_lge1,4414.0,3793.0,5863.0,4132.0,4272.0,847.0,5517.0,3587.0,4244.0,3776.0,4714.0,8318.0
vp16_hat2,4355.0,4655.0,6312.0,9530.0,19641.0,48078.0,4166.0,3037.0,3534.0,3827.0,4280.0,27997.0
dpd4_rtt102,4296.0,3198.0,4649.0,3110.0,2827.0,523.0,675.0,319.0,527.0,456.0,489.0,477.0
htl1_dpd4,4213.0,4217.0,6150.0,4938.0,4832.0,2191.0,10732.0,8045.0,11123.0,10006.0,11254.0,6366.0
dpd4_hat2,4200.0,3434.0,3441.0,3225.0,2735.0,1266.0,2967.0,2584.0,2999.0,2830.0,2799.0,3551.0
rtt102_med7,4172.0,3984.0,4585.0,4518.0,4540.0,1868.0,8600.0,4628.0,9901.0,8044.0,10025.0,7373.0
srb7_empty,4150.0,4938.0,7073.0,4552.0,5816.0,3425.0,9413.0,6663.0,6594.0,6918.0,8685.0,7263.0
tdh3_pyk2,4149.0,3959.0,4641.0,4394.0,4123.0,1119.0,3585.0,2346.0,3868.0,4011.0,3063.0,1403.0
snf11_hat1,4121.0,3928.0,3800.0,2052.0,1625.0,1591.0,5219.0,3276.0,2518.0,2084.0,2344.0,4601.0
tdh3_rpd3,4047.0,4556.0,5829.0,4822.0,3938.0,1255.0,6085.0,5137.0,11953.0,8150.0,8083.0,1932.0
hhf2_dpd4,4035.0,2401.0,2811.0,1988.0,2301.0,2873.0,1205.0,1316.0,1982.0,1181.0,1501.0,543.0
pyk1_mig1,3987.0,2684.0,3320.0,4027.0,4300.0,1959.0,258.0,191.0,263.0,271.0,261.0,380.0
vp16_lge1,3816.0,4188.0,4891.0,2559.0,2439.0,1149.0,3366.0,2530.0,2686.0,2737.0,3028.0,1269.0
gapdh_empty,3780.0,3107.0,3552.0,2881.0,2503.0,643.0,2788.0,2273.0,3898.0,2745.0,2842.0,1073.0
nut2_lge1,3774.0,4241.0,5225.0,3149.0,3205.0,2427.0,5611.0,2744.0,4295.0,3861.0,4614.0,3375.0
ada2_snf11,3761.0,4139.0,4755.0,3222.0,3498.0,3008.0,4757.0,3688.0,4243.0,3682.0,3924.0,4506.0
srb7_ies5,3709.0,3718.0,3878.0,3501.0,3384.0,658.0,2356.0,2633.0,2761.0,2568.0,1790.0,1072.0
rtt102_hat1,3705.0,2646.0,3366.0,2915.0,2789.0,873.0,4296.0,3038.0,5489.0,4201.0,5010.0,1159.0
dpd4_snf11,3676.0,5474.0,7345.0,3687.0,3188.0,1630.0,4244.0,4629.0,5216.0,4027.0,4443.0,2676.0
btt1_srb7,3668.0,4595.0,6042.0,4804.0,4507.0,1707.0,5695.0,4366.0,6078.0,5503.0,6559.0,10008.0
dpd4_hmt2,3637.0,3547.0,4565.0,3197.0,3102.0,1250.0,1905.0,1507.0,2439.0,2341.0,3964.0,18133.0
sfh1_dpd4,3633.0,3370.0,3969.0,3119.0,3550.0,3088.0,6197.0,3603.0,7075.0,9142.0,25589.0,371517.0
snf11_lge1,3632.0,4055.0,4379.0,2418.0,2115.0,1122.0,17129.0,7247.0,5265.0,4248.0,4537.0,24398.0
rtt102_gcn5,3623.0,2847.0,3419.0,2908.0,2709.0,557.0,1514.0,785.0,1479.0,1541.0,1408.0,935.0
btt1_gapdh,3584.0,3455.0,5509.0,3314.0,3479.0,1639.0,6757.0,3955.0,6504.0,5657.0,6402.0,4841.0
sir2_med7,3554.0,2994.0,3555.0,2538.0,2346.0,9439.0,2291.0,1328.0,2036.0,1604.0,1360.0,801.0
swc5_sus1,3507.0,3105.0,4011.0,2949.0,3326.0,2855.0,3542.0,2535.0,3747.0,3364.0,3965.0,4394.0
hat1_esa1,3506.0,2735.0,4138.0,8249.0,23415.0,84547.0,1907.0,1300.0,1950.0,1696.0,1923.0,2540.0
hos2_dpd4,3488.0,4495.0,4513.0,2928.0,2374.0,1174.0,2976.0,2307.0,3123.0,2856.0,3000.0,1147.0
srb7_srb7,3338.0,3551.0,5753.0,3472.0,4277.0,2237.0,6331.0,4638.0,6154.0,6191.0,7356.0,3533.0
btt1_sus1,3330.0,2575.0,3822.0,2786.0,2938.0,2597.0,1146.0,944.0,1268.0,1299.0,1494.0,3461.0
htl1_snf11,3295.0,3738.0,5163.0,2862.0,3240.0,1573.0,3132.0,2846.0,3559.0,3170.0,4042.0,7552.0
rpd3_med7,3243.0,1102.0,974.0,592.0,959.0,124.0,461.0,506.0,540.0,596.0,557.0,892.0
tdh3_hos2,3184.0,3217.0,4379.0,3583.0,3036.0,1439.0,5204.0,4289.0,7978.0,5912.0,6426.0,2116.0
arp9_lge1,3134.0,3132.0,5777.0,12716.0,35858.0,105577.0,2521.0,1675.0,2453.0,2311.0,2411.0,3268.0
rtt102_sus1,3130.0,2621.0,2987.0,2731.0,2802.0,671.0,4908.0,3157.0,5781.0,5930.0,5025.0,2904.0
snf11_pyk2,3095.0,3668.0,3543.0,1802.0,1532.0,552.0,5879.0,3568.0,3341.0,2799.0,2549.0,1594.0
vp16_snf11,3079.0,4554.0,6146.0,3154.0,3094.0,2123.0,3392.0,3337.0,3606.0,4162.0,7078.0,36702.0
tdh3_btt1,3052.0,3790.0,4425.0,3697.0,3363.0,662.0,3210.0,3316.0,6229.0,4775.0,3576.0,1119.0
snf11_med7,3036.0,3319.0,3213.0,2099.0,1644.0,1797.0,7038.0,5600.0,4622.0,3978.0,3834.0,1503.0
sus1_dpd4,2989.0,3361.0,4187.0,2180.0,1997.0,786.0,5087.0,2855.0,2659.0,2112.0,2069.0,880.0
snf11_hat2,2982.0,3161.0,2749.0,1359.0,1273.0,377.0,1995.0,1348.0,1313.0,939.0,915.0,585.0
rtt102_nhp6a,2955.0,1447.0,1737.0,1288.0,1319.0,232.0,997.0,576.0,930.0,700.0,586.0,321.0
med7_dpd4,2951.0,3972.0,5448.0,3701.0,3841.0,1908.0,9195.0,5945.0,5718.0,6918.0,6189.0,6612.0
rtt102_ies5,2926.0,1907.0,2278.0,1514.0,1454.0,2058.0,7719.0,2873.0,6767.0,4019.0,2783.0,5995.0
nut2_hat1,2925.0,2753.0,3429.0,2709.0,2990.0,2835.0,4036.0,3047.0,6668.0,9682.0,27809.0,220034.0
tdh3_nhp10,2916.0,1546.0,1303.0,906.0,641.0,232.0,1858.0,1088.0,1419.0,903.0,575.0,301.0
rtt102_nut2,2894.0,1821.0,1976.0,2051.0,1721.0,604.0,3291.0,1731.0,2903.0,2290.0,2695.0,677.0
cac2_dpd4,2868.0,3571.0,3664.0,2612.0,2312.0,2170.0,4733.0,3675.0,5938.0,5167.0,7167.0,3310.0
rtt102_pyk2,2855.0,2449.0,2604.0,2792.0,2489.0,601.0,5597.0,2438.0,3963.0,3532.0,4650.0,1758.0
med7_gapdh,2837.0,2520.0,2818.0,4210.0,2362.0,504.0,1171.0,1005.0,1288.0,1325.0,1588.0,843.0
vp16_empty,2827.0,2569.0,2966.0,1917.0,2113.0,1476.0,1929.0,1644.0,1830.0,1794.0,1984.0,2092.0
sir2_med4,2795.0,2472.0,3189.0,2377.0,1772.0,379.0,1341.0,1014.0,1339.0,1055.0,1094.0,3687.0
rtt102_eaf3,2724.0,2096.0,2538.0,2085.0,2102.0,534.0,3553.0,1589.0,3934.0,3520.0,3946.0,734.0
med4_lge1,2720.0,2687.0,3392.0,3295.0,6692.0,15158.0,2852.0,2124.0,3116.0,3364.0,4666.0,1857.0
esa1_snf11,2662.0,2599.0,3014.0,2348.0,2351.0,1881.0,3702.0,2648.0,3206.0,2997.0,3588.0,2943.0
ada2_empty,2646.0,1692.0,1644.0,806.0,704.0,418.0,1440.0,2266.0,1181.0,1596.0,1178.0,664.0
vp16_med4,2645.0,2877.0,3361.0,2498.0,2450.0,1257.0,7059.0,5224.0,4990.0,4969.0,6132.0,9321.0
tdh3_spp1,2637.0,2770.0,2609.0,2085.0,2608.0,421.0,1332.0,878.0,1637.0,1245.0,1804.0,629.0
tdh3_ldb7,2586.0,3486.0,5587.0,5933.0,9036.0,8015.0,2688.0,2831.0,6836.0,6455.0,8408.0,2822.0
tdh3_pyk1,2506.0,2265.0,2804.0,2114.0,2442.0,712.0,7688.0,5213.0,9254.0,7497.0,6955.0,1201.0
dpd4_sfh1,2461.0,2087.0,3696.0,3733.0,5284.0,1535.0,1526.0,1074.0,2108.0,2055.0,2904.0,11727.0
vp16_gapdh,2453.0,2893.0,3634.0,2155.0,2595.0,1863.0,3313.0,2361.0,2664.0,2670.0,3045.0,1708.0
tdh3_rtt102,2420.0,2523.0,2630.0,1972.0,2116.0,917.0,4611.0,4251.0,7768.0,5876.0,4984.0,4259.0
hos2_snf11,2413.0,2461.0,3159.0,1975.0,2201.0,1785.0,2078.0,1601.0,2417.0,2081.0,2384.0,2901.0
med4_vp16,2404.0,2955.0,3667.0,2803.0,3097.0,2238.0,2689.0,2441.0,2829.0,2983.0,4435.0,1330.0
rtt102_sfh1,2396.0,2439.0,3491.0,4030.0,4816.0,1399.0,3095.0,2698.0,6322.0,6617.0,10558.0,6171.0
dpd4_nhp10,2355.0,859.0,926.0,640.0,628.0,266.0,1461.0,743.0,1378.0,817.0,832.0,445.0
snf11_rpd3,2338.0,2095.0,2152.0,1122.0,875.0,494.0,4668.0,2982.0,2453.0,2154.0,1949.0,654.0
nhp10_swc5,2314.0,545.0,851.0,1059.0,1517.0,260.0,784.0,519.0,2044.0,1918.0,3414.0,315.0
med4_rtt102,2310.0,1910.0,1809.0,1885.0,1802.0,899.0,320.0,522.0,476.0,452.0,742.0,3048.0
srb7_sfh1,2288.0,2627.0,4804.0,4604.0,6073.0,5285.0,2632.0,2987.0,4684.0,6092.0,9609.0,22912.0
rtt102_mig1,2287.0,2026.0,2584.0,2397.0,2047.0,499.0,2229.0,1405.0,2426.0,2386.0,2694.0,732.0
ada2_lge1,2278.0,2389.0,2454.0,1218.0,1184.0,605.0,1973.0,1641.0,1697.0,1298.0,1516.0,5683.0
rtt102_rtt102,2265.0,1547.0,1938.0,1769.0,1408.0,451.0,3734.0,2355.0,5214.0,3829.0,3791.0,737.0
dpd4_hat1,2261.0,2446.0,3549.0,2510.0,2970.0,1927.0,1026.0,690.0,934.0,849.0,1471.0,624.0
snf11_sfh1,2253.0,2918.0,4371.0,2901.0,2930.0,4700.0,1989.0,1508.0,1889.0,1709.0,2397.0,920.0
tdh3_gcn5,2239.0,2177.0,3004.0,3139.0,3084.0,850.0,2324.0,1875.0,4076.0,4021.0,3663.0,1203.0
gapdh_med4,2227.0,1858.0,2586.0,2079.0,1846.0,608.0,1628.0,819.0,1638.0,1408.0,1420.0,1014.0
btt1_pyk2,2221.0,1817.0,2921.0,2149.0,2405.0,511.0,1177.0,1191.0,1897.0,1550.0,1866.0,4642.0
btt1_hmt2,2214.0,1644.0,2728.0,1662.0,2046.0,394.0,2948.0,1997.0,3047.0,2318.0,3132.0,5630.0
sus1_srb7,2208.0,1810.0,2070.0,1183.0,961.0,313.0,2126.0,1538.0,1654.0,1385.0,1722.0,1944.0
arp6_eaf3,2188.0,2071.0,2239.0,1493.0,1369.0,150.0,173.0,123.0,191.0,167.0,222.0,235.0
vp16_nut2,2162.0,2201.0,2571.0,1841.0,1888.0,1652.0,2730.0,1977.0,2557.0,2400.0,2852.0,2447.0
tdh3_tdh3,2156.0,2191.0,2148.0,1715.0,1579.0,598.0,4647.0,4556.0,8192.0,6107.0,5577.0,1431.0
srb7_hat1,2155.0,2857.0,4309.0,3244.0,3466.0,1695.0,6799.0,5595.0,10029.0,6909.0,9904.0,8876.0
esa1_dpd4,2127.0,2435.0,3178.0,1826.0,1561.0,558.0,3887.0,2294.0,2504.0,2875.0,2971.0,1584.0
snf11_hmt2,2126.0,2505.0,2549.0,1471.0,1165.0,671.0,2606.0,2618.0,2090.0,1771.0,2470.0,1078.0
htl1_med7,2119.0,1745.0,1891.0,1594.0,1527.0,1009.0,264.0,221.0,343.0,393.0,489.0,367.0
tdh3_esa1,2117.0,1686.0,2188.0,1755.0,1865.0,1768.0,2580.0,1962.0,3139.0,2934.0,2812.0,2988.0
btt1_empty,2078.0,2108.0,3230.0,2445.0,2054.0,1408.0,4547.0,2354.0,3078.0,3276.0,3504.0,2252.0
srb7_cdc36,2071.0,1499.0,2556.0,1912.0,2477.0,807.0,1191.0,1165.0,1623.0,1510.0,2151.0,773.0
med7_hat2,2069.0,1331.0,1550.0,822.0,772.0,198.0,807.0,637.0,818.0,865.0,914.0,318.0
nhp10_dpd4,2061.0,2317.0,4025.0,4566.0,5520.0,1200.0,4001.0,3223.0,10455.0,10687.0,13375.0,4053.0
dpd4_med7,2051.0,2144.0,3250.0,2100.0,2121.0,752.0,4837.0,2796.0,4978.0,4131.0,3264.0,1164.0
btt1_lge1,2048.0,2240.0,2811.0,2068.0,2025.0,1183.0,4179.0,3269.0,3963.0,4096.0,4726.0,5763.0
btt1_nut2,2042.0,1863.0,2347.0,1622.0,1693.0,443.0,2269.0,2030.0,2798.0,3191.0,4084.0,11127.0
rtt102_btt1,2041.0,1737.0,2203.0,2028.0,1545.0,439.0,1741.0,1052.0,1818.0,1862.0,1811.0,13826.0
bre2_gapdh,2014.0,1704.0,2258.0,1400.0,1205.0,403.0,777.0,1050.0,1158.0,1392.0,1585.0,517.0
