,r2_lasso,r2_RF,r2_NN,r2_DT,r2_lasso_scram,r2_RF_scram,r2_NN_scram,r2_DT_scram_list
0,0.335,0.553,0.431,0.269,0.075,0.299,0.105,0.115
1,0.336,0.602,0.536,0.384,0.07,0.332,0.141,0.115
2,0.373,0.548,0.485,0.289,0.062,0.324,0.128,0.113
3,0.361,0.601,0.491,0.399,0.043,0.339,0.123,0.099
4,0.363,0.627,0.546,0.323,0.073,0.255,0.124,0.102
5,0.361,0.575,0.435,0.303,0.07,0.313,0.151,0.012
6,0.303,0.563,0.458,0.262,0.07,0.242,0.054,0.134
7,0.371,0.598,0.515,0.254,0.079,0.344,0.17,0.189
8,0.336,0.6,0.531,0.361,0.074,0.338,0.097,0.158
9,0.372,0.605,0.581,0.279,0.057,0.324,0.131,0.134
10,0.381,0.631,0.502,0.37,0.07,0.358,0.221,0.076
11,0.348,0.584,0.503,0.361,0.071,0.321,0.195,0.103
12,0.414,0.647,0.532,0.379,0.074,0.309,0.195,0.177
13,0.312,0.545,0.505,0.254,0.044,0.35,0.166,0.152
14,0.353,0.571,0.533,0.307,0.057,0.242,0.103,0.027
15,0.41,0.647,0.533,0.44,0.077,0.331,0.129,0.149
16,0.364,0.64,0.562,0.402,0.056,0.323,0.199,0.14
17,0.35,0.595,0.505,0.325,0.055,0.321,0.193,0.142
18,0.354,0.6,0.514,0.263,0.064,0.301,0.158,0.054
19,0.285,0.586,0.45,0.262,0.04,0.293,0.13,0.11
20,0.359,0.609,0.513,0.363,0.077,0.34,0.223,0.2
21,0.364,0.585,0.481,0.298,0.07,0.393,0.207,0.164
22,0.345,0.613,0.5,0.366,0.075,0.305,0.143,0.097
23,0.332,0.557,0.547,0.207,0.04,0.288,0.114,0.024
24,0.289,0.577,0.517,0.315,0.041,0.293,0.12,0.149
25,0.357,0.59,0.46,0.315,0.072,0.297,0.085,0.122
26,0.378,0.636,0.572,0.31,0.066,0.379,0.221,0.132
27,0.338,0.595,0.487,0.311,0.077,0.339,0.253,0.177
28,0.314,0.558,0.473,0.276,0.069,0.309,0.162,0.13
29,0.352,0.612,0.588,0.303,0.068,0.319,0.198,0.161
30,0.382,0.615,0.557,0.348,0.062,0.334,0.175,0.158
31,0.38,0.654,0.542,0.384,0.07,0.312,0.15,0.099
32,0.319,0.568,0.473,0.213,0.055,0.343,0.114,0.151
33,0.391,0.624,0.572,0.347,0.068,0.339,0.181,0.157
34,0.367,0.608,0.514,0.339,0.068,0.295,0.141,0.062
35,0.33,0.587,0.518,0.363,0.073,0.333,0.203,0.102
36,0.309,0.553,0.499,0.128,0.066,0.282,0.106,0.104
37,0.316,0.603,0.459,0.307,0.057,0.344,0.108,0.16
38,0.318,0.589,0.476,0.255,0.045,0.318,0.147,0.104
39,0.298,0.549,0.433,0.253,0.075,0.285,0.116,0.135
40,0.376,0.591,0.492,0.315,0.064,0.291,0.133,0.129
41,0.327,0.613,0.557,0.322,0.053,0.292,0.222,0.094
42,0.373,0.631,0.571,0.331,0.064,0.322,0.167,0.183
43,0.377,0.628,0.557,0.381,0.052,0.27,0.134,0.111
44,0.388,0.627,0.567,0.363,0.069,0.394,0.287,0.126
45,0.351,0.536,0.457,0.266,0.063,0.33,0.221,0.163
46,0.328,0.588,0.456,0.291,0.057,0.264,0.082,0.035
47,0.377,0.603,0.468,0.386,0.075,0.361,0.211,0.052
48,0.342,0.583,0.498,0.294,0.053,0.307,0.1,0.147
49,0.383,0.617,0.521,0.389,0.05,0.33,0.151,0.132
50,0.359,0.628,0.518,0.366,0.066,0.392,0.246,0.143
51,0.369,0.555,0.489,0.277,0.066,0.277,0.134,0.058
52,0.329,0.59,0.513,0.358,0.056,0.309,0.139,0.165
53,0.36,0.62,0.561,0.357,0.068,0.36,0.234,0.167
54,0.405,0.657,0.533,0.42,0.073,0.341,0.255,0.123
55,0.371,0.627,0.532,0.426,0.066,0.3,0.165,0.104
56,0.336,0.581,0.502,0.305,0.073,0.312,0.204,0.119
57,0.333,0.592,0.502,0.352,0.066,0.352,0.176,0.137
58,0.364,0.655,0.613,0.387,0.058,0.343,0.169,0.082
59,0.315,0.537,0.479,0.232,0.061,0.308,0.145,0.117
60,0.371,0.62,0.491,0.299,0.076,0.304,0.224,0.053
61,0.328,0.587,0.53,0.266,0.052,0.286,0.153,0.077
62,0.372,0.597,0.509,0.329,0.073,0.275,0.139,0.058
63,0.35,0.633,0.533,0.332,0.061,0.356,0.213,0.113
64,0.333,0.584,0.51,0.303,0.063,0.334,0.212,0.136
65,0.328,0.542,0.489,0.256,0.074,0.326,0.227,0.094
66,0.31,0.569,0.493,0.242,0.063,0.36,0.278,0.202
67,0.321,0.622,0.48,0.338,0.067,0.317,0.113,0.068
68,0.341,0.576,0.494,0.342,0.058,0.289,0.067,0.119
69,0.354,0.626,0.544,0.327,0.064,0.347,0.223,0.104
70,0.356,0.609,0.577,0.32,0.06,0.328,0.225,0.151
71,0.363,0.62,0.516,0.348,0.06,0.372,0.217,0.044
72,0.369,0.6,0.501,0.34,0.077,0.318,0.169,0.115
73,0.368,0.625,0.557,0.353,0.075,0.4,0.283,0.095
74,0.314,0.568,0.483,0.214,0.058,0.293,0.149,0.01
75,0.314,0.571,0.542,0.259,0.066,0.302,0.201,0.167
76,0.38,0.604,0.542,0.275,0.069,0.338,0.228,0.198
77,0.328,0.51,0.465,0.162,0.062,0.229,0.063,-0.023
78,0.371,0.605,0.528,0.431,0.061,0.34,0.224,0.137
79,0.388,0.649,0.541,0.435,0.074,0.38,0.126,0.209
80,0.354,0.612,0.497,0.299,0.073,0.339,0.185,0.124
81,0.334,0.608,0.529,0.316,0.059,0.323,0.201,0.174
82,0.386,0.622,0.552,0.378,0.075,0.37,0.225,0.114
83,0.331,0.595,0.543,0.283,0.062,0.357,0.22,0.147
84,0.33,0.585,0.539,0.284,0.076,0.307,0.104,0.142
85,0.353,0.58,0.487,0.251,0.056,0.325,0.23,0.092
86,0.341,0.588,0.516,0.258,0.078,0.316,0.181,0.125
87,0.329,0.605,0.572,0.322,0.071,0.339,0.234,0.173
88,0.354,0.625,0.557,0.373,0.062,0.346,0.217,0.057
89,0.347,0.578,0.538,0.337,0.067,0.293,0.161,0.107
90,0.349,0.572,0.456,0.32,0.071,0.361,0.184,0.198
91,0.376,0.624,0.566,0.397,0.054,0.363,0.257,0.196
92,0.371,0.606,0.506,0.316,0.048,0.316,0.147,0.115
93,0.364,0.594,0.532,0.243,0.048,0.329,0.179,0.142
94,0.36,0.593,0.52,0.319,0.076,0.368,0.234,0.243
95,0.343,0.593,0.506,0.312,0.065,0.367,0.224,0.197
96,0.368,0.601,0.554,0.362,0.069,0.29,0.192,0.168
97,0.326,0.603,0.516,0.328,0.047,0.309,0.137,0.167
98,0.351,0.587,0.453,0.291,0.069,0.313,0.136,0.112
99,0.361,0.645,0.542,0.406,0.064,0.333,0.194,0.131
