,r2_lasso,r2_RF,r2_NN,r2_DT,r2_lasso_scram,r2_RF_scram,r2_NN_scram,r2_DT_scram_list
0,0.397,0.855,0.617,0.734,0.409,0.837,0.571,0.74
1,0.462,0.913,0.592,0.826,0.429,0.912,0.593,0.781
2,0.53,0.896,0.663,0.814,0.484,0.886,0.618,0.688
3,0.5,0.902,0.662,0.792,0.452,0.902,0.66,0.822
4,0.463,0.907,0.613,0.84,0.423,0.892,0.659,0.758
5,0.494,0.935,0.617,0.861,0.458,0.928,0.595,0.828
6,0.496,0.905,0.636,0.813,0.466,0.897,0.629,0.745
7,0.485,0.918,0.649,0.855,0.449,0.916,0.608,0.777
8,0.476,0.91,0.646,0.835,0.432,0.895,0.585,0.779
9,0.493,0.927,0.599,0.848,0.461,0.904,0.634,0.778
10,0.552,0.928,0.634,0.841,0.508,0.92,0.616,0.808
11,0.503,0.912,0.664,0.832,0.485,0.911,0.605,0.768
12,0.531,0.919,0.63,0.861,0.485,0.924,0.609,0.823
13,0.492,0.909,0.672,0.828,0.453,0.91,0.617,0.776
14,0.494,0.892,0.685,0.803,0.448,0.899,0.676,0.741
15,0.52,0.942,0.691,0.87,0.489,0.927,0.663,0.833
16,0.515,0.934,0.658,0.844,0.481,0.93,0.626,0.822
17,0.529,0.93,0.633,0.849,0.472,0.913,0.593,0.8
18,0.471,0.931,0.626,0.852,0.449,0.914,0.606,0.795
19,0.481,0.912,0.651,0.792,0.449,0.91,0.645,0.785
20,0.474,0.902,0.567,0.845,0.444,0.902,0.556,0.802
21,0.493,0.933,0.6,0.865,0.464,0.921,0.6,0.792
22,0.496,0.893,0.644,0.771,0.477,0.883,0.644,0.665
23,0.517,0.918,0.615,0.857,0.484,0.905,0.586,0.734
24,0.51,0.919,0.663,0.834,0.491,0.906,0.639,0.78
25,0.495,0.93,0.644,0.859,0.438,0.924,0.621,0.801
26,0.491,0.922,0.611,0.814,0.477,0.923,0.646,0.817
27,0.49,0.92,0.63,0.844,0.452,0.916,0.607,0.787
28,0.525,0.926,0.626,0.853,0.465,0.906,0.602,0.812
29,0.458,0.899,0.617,0.808,0.43,0.897,0.606,0.737
30,0.463,0.917,0.611,0.849,0.446,0.917,0.605,0.807
31,0.542,0.924,0.593,0.843,0.485,0.919,0.567,0.763
32,0.455,0.911,0.648,0.816,0.441,0.896,0.62,0.766
33,0.455,0.919,0.616,0.837,0.442,0.916,0.555,0.809
34,0.526,0.929,0.659,0.86,0.459,0.918,0.623,0.786
35,0.495,0.92,0.592,0.809,0.443,0.899,0.564,0.799
36,0.499,0.901,0.588,0.811,0.441,0.898,0.585,0.791
37,0.46,0.907,0.62,0.81,0.427,0.9,0.582,0.788
38,0.498,0.915,0.638,0.844,0.43,0.899,0.614,0.779
39,0.482,0.918,0.651,0.861,0.442,0.911,0.662,0.763
40,0.428,0.881,0.606,0.784,0.415,0.883,0.619,0.766
41,0.469,0.938,0.587,0.858,0.433,0.919,0.575,0.79
42,0.534,0.929,0.678,0.855,0.468,0.905,0.645,0.775
