,flow_seq_score,flow_seq_score_pred,context
nhp10_nhp10_1,0.2560637944710311,0.4314671348516065,1
eaf5_snf11_1,0.7377481172444879,0.4535760670164085,1
med7_gcn5_1,0.4754282911922562,0.43739497882334366,1
med7_ies5_1,0.2714006932645694,0.4396755411202433,1
dpd4_med4_1,0.2226161577990103,0.3939983515450296,1
lge1_gapdh_1,0.3832516087310076,0.38981053408882493,1
hhf2_nhp6a_1,0.2558101044964469,0.3182769586808735,1
htl1_tdh3_1,0.3180097177106117,0.4389527318856098,1
lge1_hos1_1,0.3387986486960556,0.4315003699387598,1
bre2_ldb7_1,0.4879696860726789,0.3925482481096482,1
dpd4_arp9_1,0.1772978523483367,0.3719894988840499,1
srb7_spp1_1,0.4244953397055661,0.47295858710547795,1
sfh1_cdc36_1,0.8275475853094667,0.5416245702198728,1
ada2_spp1_1,0.6769785084369183,0.41941365677186326,1
ies5_nhp6a_1,0.489335634029004,0.4172839649847954,1
sus1_spp1_1,0.5985774943842951,0.44053403883023745,1
arp9_eaf3_1,0.2516752331900622,0.4017259739470854,1
mig1_spp1_1,0.1569159110368853,0.3338182743782313,1
nhp10_htl1_1,0.3374743316476302,0.43506331855590724,1
pyk2_gcn5_1,0.2471024062542043,0.34154861429481376,1
sus1_swc5_1,0.6324866742877457,0.450074934738239,1
nhp10_hat1_1,0.2732429568419781,0.4191856847056382,1
empty_arp9_1,0.2180897134114992,0.3402844438894496,1
hat2_gcn5_1,0.2734601494100238,0.42202371747919765,1
DAM_lge1_1,0.2742032263994077,0.3959972918312425,1
pyk1_sfh1_1,0.2619640555162713,0.3352578136941093,1
hmt2_gapdh_1,0.2088710851418405,0.2405863546784001,1
hda1_hat2_1,0.2089725292370093,0.3664480911244635,1
vp16_spp1_1,0.8725808666610176,0.5958500566140321,1
arp9_rtt102_1,0.2427541642754463,0.40382569451662786,1
srb7_med7_1,0.6273188856046206,0.48649299025702053,1
mig1_mig1_1,0.1530979541129195,0.3240705567586676,1
hat2_cdc36_1,0.3473118049751699,0.4296004159421293,1
spp1_vps71_1,0.1978821240142884,0.35996419587755907,1
hat2_DAM_1,0.2403110812509176,0.40853709958323914,1
snf11_hst2_1,0.6889879607543445,0.4909611331372997,1
tdh3_spp1_1,0.1892584246618056,0.3130250049506974,1
vps71_srb7_1,0.2489340179931259,0.44480395863864935,1
hst2_nhp10_1,0.2663379625079356,0.31420016072517154,1
hst2_nhp6a_1,0.2532478128816914,0.2890363389117166,1
pyk1_esa1_1,0.4052980277830389,0.3242601471866617,1
snf11_med7_1,0.7485872161521494,0.5370886074278249,1
htl1_arp6_1,0.394594123068936,0.46515989237173055,1
gcn5_eaf3_1,0.3362601988516659,0.3968110501523119,1
nhp6a_DAM_1,0.3809336189397617,0.31686422205962744,1
bre2_gcn5_1,0.4315773720942882,0.40281398240988286,1
hos2_nut2_1,0.5662102096477005,0.4007791939994543,1
med7_esa1_1,0.3800110994622329,0.45213623399815017,1
htl1_gapdh_1,0.3354943548569284,0.43208546058352393,1
hat1_arp6_1,0.2456089867892985,0.4262708560066359,1
esa1_hos1_1,0.4258568541819833,0.4335064598374673,1
hhf2_pyk2_1,0.243825739053234,0.29655578987344594,1
