,flow_seq_score,flow_seq_score_pred,context
gapdh_lge1_2,0.1694455230097405,0.17913653861820705,2
empty_snf11_2,0.3510572238647252,0.43783721225613115,2
htl1_tdh3_2,0.5260705441496278,0.5322884418302573,2
btt1_hat2_2,0.4593049988505934,0.4540382995841321,2
nut2_hat1_2,0.7207321051323565,0.723339197295743,2
srb7_med7_2,0.5850365690210697,0.5674201638748604,2
snf11_nhp6a_2,0.7343384036698029,0.696622195546169,2
sus1_med4_2,0.7435764428157317,0.7152936907527102,2
nut2_tdh3_2,0.6962365346274619,0.711143384000827,2
rpd3_dpd4_2,0.6464643971083803,0.6326456439972977,2
ies5_hhf2_2,0.4876010402142845,0.4866026252924265,2
nhp10_spp1_2,0.2021627414022826,0.22642104182012443,2
ies5_lge1_2,0.4801294027875031,0.43276554217112834,2
btt1_med7_2,0.466229551177705,0.45880960371629476,2
gapdh_dpd4_2,0.1616149290134581,0.17563688860759924,2
lge1_sfh1_2,0.6236430788947229,0.6249593275929288,2
arp6_nut2_2,0.5780897869936306,0.5693194984682745,2
ldb7_ldb7_2,0.6668760681723478,0.7025855773603581,2
vp16_med7_2,0.8978514373355083,0.886828410333449,2
spp1_htl1_2,0.3295584112438888,0.3502750196536361,2
pyk1_hhf2_2,0.2217329504576782,0.23102455627931553,2
hst2_arp6_2,0.1998709488498078,0.2404118490234535,2
pyk2_rtt102_2,0.2024866811647543,0.21067788574188967,2
hhf2_DAM_2,0.177373925667621,0.24714176965977874,2
hos2_ldb7_2,0.6521624284166954,0.6751256007549293,2
ada2_mig1_2,0.6589775095765402,0.6466206154145852,2
cac2_pyk2_2,0.3925511242426067,0.43889317736252864,2
hos2_lge1_2,0.6988849846316562,0.6244921357503788,2
gcn5_eaf5_2,0.4864035360356586,0.48930429237625284,2
tdh3_arp6_2,0.1925228489099446,0.18140559153583052,2
btt1_DAM_2,0.4302067235986366,0.4614610080926396,2
arp9_nhp10_2,0.2918924197256952,0.3057898856036645,2
arp6_ldb7_2,0.5536052405403455,0.541946034056647,2
gcn5_sfh1_2,0.4491445512247576,0.4528637667187908,2
hhf2_gapdh_2,0.1765828758243091,0.22488825787785008,2
empty_swd3_2,0.3199891603290492,0.2951852003761381,2
swd3_ldb7_2,0.6842776152565113,0.6989444859012501,2
htl1_swc5_2,0.5447509504454966,0.5432077935235844,2
med7_srb7_2,0.6262404825160734,0.5457488319006708,2
empty_eaf3_2,0.3054018684833294,0.3012056507472499,2
nhp10_swd3_2,0.1946131348274901,0.2123548703448598,2
sus1_gapdh_2,0.7279755186743175,0.6814022256251054,2
hos1_dpd4_2,0.5510259937723448,0.5458666429068291,2
sus1_empty_2,0.6783667029711862,0.6494750435898231,2
arp6_med4_2,0.5851645635070221,0.5640158714512498,2
snf11_pyk2_2,0.7384607276111486,0.7000507300575518,2
lge1_dpd4_2,0.6497935843333165,0.6210436963352125,2
arp9_spp1_2,0.3174293540125817,0.3173836556526625,2
rtt102_sfh1_2,0.5144394951054442,0.5337901403832344,2
swd3_lge1_2,0.7143845641250475,0.6470697948001072,2
btt1_mig1_2,0.3890761742780827,0.4334188538789562,2
bre2_arp6_2,0.4914771897778288,0.4583896295658488,2
empty_btt1_2,0.2836754185838041,0.299813846489978,2
esa1_eaf5_2,0.602822922617932,0.5527731029784626,2
sir2_mig1_2,0.150757341150077,0.14853661338109306,2
eaf5_vps71_2,0.7162860443534824,0.6955066260949271,2
swc5_hmt2_2,0.437313061014045,0.40233619605463977,2
nut2_hmt2_2,0.7271870345373015,0.7147719956031069,2
tdh3_sir2_2,0.1517361401212203,0.18541441643812892,2
vps71_nut2_2,0.4918948027247219,0.4317141062264397,2
mig1_ada2_2,0.2799059975705227,0.1512341361679682,2
pyk1_pyk1_2,0.1442932415261464,0.19629403027229667,2
sfh1_gapdh_2,0.8241059762376071,0.8062337277643892,2
med7_hos2_2,0.5437729276049263,0.5276554992233501,2
rtt102_esa1_2,0.5577734722390573,0.5483708380459167,2
nhp6a_hhf2_2,0.2754056735448182,0.20496034567641444,2
hhf2_rtt102_2,0.1826109478908234,0.21903212661220509,2
med7_lge1_2,0.525711509853291,0.5106908231457417,2
mig1_cac2_2,0.1029064262097314,0.13820512342894134,2
htl1_ldb7_2,0.4826673387006872,0.5016337140293882,2
hos2_eaf5_2,0.6859762514731121,0.6806596698227232,2
eaf3_btt1_2,0.4970086946686335,0.4698315687966137,2
swc5_arp9_2,0.4375259670349035,0.4133869743434053,2
hat1_pyk2_2,0.3532591639947629,0.42704687305220174,2
empty_swc5_2,0.2947150355699678,0.31099880268364305,2
nhp10_pyk1_2,0.2015665875511213,0.20143550110633224,2
nhp6a_hst2_2,0.2354137554930387,0.25271866200688037,2
vp16_rpd3_2,0.8897930023072069,0.8796000784751794,2
hst2_med7_2,0.1801820700880066,0.18929909550291377,2
arp9_dpd4_2,0.2841377244819929,0.30000504920608934,2
gcn5_esa1_2,0.5163862766037687,0.4854332699588261,2
gcn5_pyk2_2,0.4131069127736983,0.43276667849802586,2
med4_nhp10_2,0.8410759674253858,0.8015690642197435,2
eaf5_pyk1_2,0.6689402818430699,0.6181488609133312,2
spp1_hat1_2,0.3317574475212094,0.3492648054081242,2
dpd4_cac2_2,0.1840197713321353,0.19090976150946326,2
nut2_sfh1_2,0.7137974796627493,0.7230577497872198,2
mig1_mig1_2,0.1136422600482352,0.15531362465981277,2
snf11_btt1_2,0.736910422096904,0.7304970821322064,2
dpd4_dpd4_2,0.1833848167771075,0.19142047051303687,2
swc5_ada2_2,0.397324625929926,0.4127907531832875,2
sir2_hat1_2,0.1629641351864362,0.1721174816327334,2
pyk1_DAM_2,0.193322724952595,0.18391262479031434,2
dpd4_hst2_2,0.1803083339096002,0.1960162783972781,2
hos2_pyk1_2,0.6453257865408426,0.6920455924497935,2
vp16_spp1_2,0.8960383767137445,0.8741170991821214,2
htl1_bre2_2,0.4740668149613886,0.5504163428824794,2
med4_ldb7_2,0.8059419507635505,0.8212097900800481,2
hos1_sus1_2,0.5493580731270793,0.5245878474939145,2
rpd3_arp6_2,0.5620657460947271,0.6289844432948427,2
ldb7_vp16_2,0.7031356573134999,0.6338816844137264,2
swd3_spp1_2,0.7575173740744356,0.6307091307152048,2
hos2_hos1_2,0.6406179395078069,0.661699039378738,2
gapdh_ies5_2,0.2089796102055524,0.19668692500271376,2
gcn5_htl1_2,0.5591596797903645,0.46345746806017796,2
swc5_swd3_2,0.4004575695680785,0.4090960484301827,2
eaf3_nut2_2,0.4600622046246839,0.4732216547342467,2
gapdh_tdh3_2,0.1774998628972673,0.18259083044963542,2
lge1_nhp6a_2,0.5817156966109029,0.5921735406776975,2
nhp10_hos2_2,0.2292305267415415,0.21763758447129525,2
arp9_eaf5_2,0.5066678610304121,0.33092379238903574,2
mig1_vps71_2,0.1101815443186266,0.13369971902913227,2
swc5_mig1_2,0.3565965231151096,0.35993797481260237,2
swc5_ies5_2,0.3863862299741547,0.3976880483750801,2
snf11_med4_2,0.7431830279227502,0.7205777532718125,2
eaf3_srb7_2,0.4778371813374911,0.4565772105279921,2
ada2_sfh1_2,0.6862583420708386,0.6923459948169228,2
