,R2_values
0,0.929
1,0.921
2,0.924
3,0.927
4,0.929
5,0.926
6,0.925
7,0.936
8,0.923
9,0.912
10,0.918
11,0.934
12,0.924
13,0.926
14,0.916
15,0.917
16,0.929
17,0.934
18,0.921
19,0.921
20,0.915
21,0.914
22,0.93
23,0.925
24,0.918
25,0.926
26,0.948
27,0.924
28,0.948
29,0.926
30,0.92
31,0.927
32,0.921
33,0.938
34,0.932
35,0.947
36,0.928
37,0.93
38,0.95
39,0.924
40,0.917
41,0.93
42,0.933
43,0.91
44,0.949
45,0.922
46,0.915
47,0.933
48,0.94
49,0.928
50,0.93
51,0.929
52,0.948
53,0.933
54,0.92
55,0.937
56,0.921
57,0.929
58,0.925
59,0.916
60,0.914
61,0.939
62,0.936
63,0.922
64,0.934
65,0.911
66,0.931
67,0.913
68,0.919
69,0.934
70,0.93
71,0.918
72,0.925
73,0.924
74,0.925
75,0.93
76,0.924
77,0.93
78,0.94
79,0.924
80,0.908
81,0.923
82,0.938
83,0.928
84,0.943
85,0.925
86,0.911
87,0.933
88,0.926
89,0.924
90,0.932
91,0.921
92,0.941
93,0.928
94,0.929
95,0.922
96,0.927
97,0.94
98,0.92
99,0.926
