,r2_lasso,r2_RF,r2_NN,r2_DT,r2_SVM,r2_lasso_scram,r2_RF_scram,r2_NN_scram,r2_DT_scram_list,r2_SVM_scram_list
0,0.396,0.82,0.636,0.607,0.6,0.228,0.824,0.604,0.638,0.6
1,0.327,0.795,0.511,0.479,0.521,0.213,0.789,0.49,0.508,0.527
2,0.382,0.83,0.631,0.584,0.59,0.231,0.803,0.579,0.596,0.642
3,0.359,0.8,0.602,0.591,0.56,0.231,0.813,0.563,0.513,0.583
4,0.376,0.782,0.543,0.532,0.551,0.212,0.784,0.456,0.538,0.557
5,0.381,0.827,0.591,0.608,0.604,0.23,0.8,0.565,0.581,0.539
6,0.351,0.821,0.587,0.635,0.554,0.213,0.796,0.562,0.456,0.561
7,0.381,0.824,0.666,0.612,0.62,0.255,0.824,0.611,0.58,0.645
8,0.349,0.805,0.533,0.576,0.541,0.228,0.799,0.51,0.564,0.577
9,0.426,0.813,0.599,0.605,0.584,0.245,0.78,0.53,0.548,0.593
10,0.392,0.811,0.575,0.549,0.571,0.204,0.814,0.586,0.6,0.53
11,0.395,0.839,0.605,0.641,0.62,0.223,0.816,0.585,0.51,0.63
12,0.421,0.814,0.63,0.639,0.577,0.25,0.814,0.59,0.548,0.55
13,0.383,0.825,0.561,0.599,0.59,0.223,0.812,0.531,0.549,0.534
14,0.352,0.821,0.576,0.627,0.599,0.215,0.813,0.553,0.57,0.644
15,0.388,0.807,0.547,0.532,0.596,0.24,0.793,0.501,0.446,0.603
16,0.363,0.833,0.611,0.594,0.59,0.258,0.822,0.589,0.537,0.659
17,0.402,0.825,0.628,0.627,0.612,0.221,0.812,0.584,0.553,0.606
18,0.36,0.825,0.569,0.58,0.549,0.242,0.815,0.597,0.515,0.582
19,0.357,0.799,0.492,0.576,0.536,0.228,0.802,0.508,0.56,0.588
20,0.292,0.804,0.483,0.531,0.463,0.219,0.829,0.522,0.573,0.588
21,0.341,0.813,0.547,0.532,0.501,0.24,0.804,0.549,0.469,0.474
22,0.361,0.828,0.559,0.543,0.564,0.225,0.821,0.528,0.515,0.624
23,0.373,0.817,0.562,0.578,0.585,0.23,0.804,0.511,0.432,0.635
24,0.363,0.828,0.579,0.646,0.609,0.239,0.814,0.535,0.541,0.522
25,0.36,0.838,0.58,0.586,0.583,0.237,0.826,0.564,0.501,0.648
26,0.404,0.824,0.605,0.6,0.621,0.231,0.816,0.601,0.598,0.647
27,0.405,0.807,0.588,0.608,0.579,0.239,0.799,0.565,0.425,0.631
28,0.375,0.775,0.579,0.576,0.561,0.248,0.773,0.618,0.527,0.623
29,0.382,0.774,0.578,0.551,0.526,0.234,0.766,0.533,0.506,0.52
30,0.385,0.801,0.636,0.566,0.602,0.22,0.774,0.575,0.538,0.605
31,0.352,0.807,0.572,0.534,0.529,0.218,0.805,0.565,0.539,0.526
32,0.378,0.809,0.592,0.578,0.594,0.245,0.808,0.506,0.479,0.59
33,0.389,0.823,0.595,0.612,0.592,0.231,0.825,0.561,0.613,0.661
34,0.37,0.831,0.661,0.649,0.667,0.186,0.784,0.619,0.525,0.639
35,0.393,0.828,0.581,0.633,0.57,0.222,0.814,0.535,0.582,0.684
36,0.378,0.822,0.642,0.58,0.599,0.226,0.818,0.6,0.593,0.612
37,0.397,0.799,0.529,0.518,0.611,0.209,0.785,0.514,0.517,0.615
38,0.362,0.818,0.657,0.618,0.518,0.228,0.802,0.605,0.513,0.533
39,0.368,0.813,0.572,0.614,0.586,0.236,0.812,0.59,0.562,0.628
40,0.353,0.832,0.618,0.658,0.657,0.16,0.813,0.598,0.596,0.651
41,0.393,0.758,0.608,0.569,0.563,0.244,0.762,0.538,0.519,0.573
42,0.355,0.779,0.548,0.524,0.576,0.195,0.762,0.526,0.44,0.553
43,0.388,0.79,0.509,0.615,0.599,0.236,0.771,0.53,0.508,0.627
44,0.382,0.851,0.616,0.664,0.633,0.216,0.83,0.595,0.611,0.665
45,0.37,0.836,0.621,0.63,0.598,0.239,0.827,0.622,0.563,0.635
46,0.348,0.815,0.57,0.519,0.575,0.223,0.796,0.536,0.553,0.566
47,0.411,0.819,0.622,0.649,0.646,0.232,0.813,0.599,0.583,0.668
48,0.388,0.829,0.617,0.663,0.599,0.235,0.817,0.565,0.588,0.659
49,0.319,0.817,0.606,0.618,0.514,0.199,0.834,0.568,0.479,0.69
50,0.367,0.799,0.596,0.569,0.526,0.242,0.767,0.525,0.446,0.611
51,0.314,0.793,0.522,0.534,0.553,0.208,0.796,0.515,0.434,0.593
52,0.379,0.834,0.557,0.571,0.569,0.235,0.809,0.502,0.453,0.625
53,0.339,0.784,0.483,0.472,0.507,0.227,0.77,0.421,0.426,0.454
54,0.383,0.819,0.596,0.565,0.572,0.232,0.79,0.586,0.539,0.62
55,0.373,0.82,0.599,0.591,0.647,0.223,0.793,0.547,0.511,0.625
56,0.351,0.82,0.539,0.587,0.552,0.219,0.803,0.523,0.521,0.568
57,0.344,0.806,0.533,0.592,0.532,0.232,0.809,0.572,0.544,0.637
