,feature_importance
embed1_1,0.13625193503381502
embed1_2,0.13048676814680343
embed1_3,0.4855420753365685
embed1_4,0.1975962158901608
embed1_5,0.13978366860883634
embed1_6,0.13972289770758758
embed1_7,0.1698055553511593
embed1_8,0.07874290635566533
embed1_9,0.15044868910317272
embed1_10,0.14781737448785318
embed1_11,0.7592338635554915
embed1_12,0.2286344711681841
embed1_13,0.1954453296514462
embed1_14,0.1575923235906853
embed1_15,0.28988591912021416
embed1_16,0.23272744596932357
embed1_17,0.1815882561674447
embed1_18,0.4175333426545184
embed1_19,0.07611897040453672
embed1_20,0.14488978458436083
embed1_21,0.18300485256747967
embed1_22,0.17456040460612443
embed1_23,0.31821853781252435
embed1_24,0.1421320117121106
embed1_25,0.06736198278950098
embed1_26,0.16452319143447977
embed1_27,0.17945112618540293
embed1_28,0.2780018140800293
embed1_29,0.09995375592082414
embed1_30,0.10353228839455846
embed1_31,0.11857851036547944
embed1_32,0.13205448426128905
embed1_33,0.10421958172729642
embed1_34,0.39271621079165325
embed1_35,0.2156102290612827
embed1_36,0.1827173649944579
embed1_37,0.16405752567650547
embed1_38,0.08240818807894021
embed1_39,0.1683335157070043
embed1_40,0.16608919656558135
embed1_41,0.1577110558990319
embed1_42,0.11392837199645577
embed1_43,0.10898307580502536
embed1_44,0.18453151950609065
embed1_45,0.18954224657728444
embed1_46,0.14086894736849329
embed1_47,0.13248160323025177
embed1_48,0.15621384580997444
embed1_49,0.11575879854333167
embed1_50,0.1353200580144488
embed1_51,0.13617892910703472
embed1_52,0.20493509770811102
embed1_53,0.1999888653180098
embed1_54,0.1982344366471195
embed1_55,0.2637217198561037
embed1_56,0.09964524989228576
embed1_57,0.20012592426874218
embed1_58,0.27319550911912266
embed1_59,0.167968000052352
embed1_60,0.23194952581644854
embed1_61,0.16164753098123372
embed1_62,0.4326653006208797
embed1_63,0.09819224088728606
embed1_64,0.1924102090786786
embed2_1,0.09000650523154309
embed2_2,0.17895779947189738
embed2_3,5.198731096954372
embed2_4,0.18074028289956962
embed2_5,0.09092435697810229
embed2_6,0.1784460535316428
embed2_7,0.3054398833716473
embed2_8,0.16504828946651878
embed2_9,0.08644677377028645
embed2_10,0.2480463105174881
embed2_11,0.19129298729711552
embed2_12,0.16357167355007005
embed2_13,0.13223816709752695
embed2_14,0.24790018074099507
embed2_15,0.2562719509045483
embed2_16,0.15667880961104577
embed2_17,0.6953951248323018
embed2_18,23.63436792804263
embed2_19,0.08613011126156409
embed2_20,0.23465267919943597
embed2_21,0.26474712893872737
embed2_22,0.12790298377950737
embed2_23,11.72240549541394
embed2_24,5.358260315909584
embed2_25,0.07606505804569652
embed2_26,0.07170920302054104
embed2_27,0.22478121946274487
embed2_28,0.1955423695484096
embed2_29,0.18158973431898812
embed2_30,0.4209058123608708
embed2_31,0.08896737571644436
embed2_32,23.452270941040684
embed2_33,2.7637276108350886
embed2_34,0.18275332480577489
embed2_35,0.10553881585533616
embed2_36,0.25226877640318535
embed2_37,2.267331948080763
embed2_38,0.11104008417461471
embed2_39,0.5183594845658194
embed2_40,0.12697520148100921
embed2_41,0.12896225102525674
embed2_42,0.6382530521258672
embed2_43,0.11554703906969298
embed2_44,1.3055781904810881
embed2_45,0.10675129236070455
embed2_46,0.2155117000286873
embed2_47,0.14446479987250416
embed2_48,0.24516058932125143
embed2_49,0.1478624186117785
embed2_50,0.5467016796016501
embed2_51,0.11015303288301513
embed2_52,0.17574383407547886
embed2_53,0.13569473143472274
embed2_54,0.1353689824232289
embed2_55,0.21417396783311834
embed2_56,0.07879029784207144
embed2_57,0.0774489260565345
embed2_58,1.1232116903335814
embed2_59,0.17662803131360127
embed2_60,0.12308017008155529
embed2_61,0.1755976207938072
embed2_62,0.18367783732159157
embed2_63,0.20407689716442565
embed2_64,0.2635604917326089
