,embed1_1,embed1_2,embed1_3,embed1_4,embed1_5,embed1_6,embed1_7,embed1_8,embed1_9,embed1_10,embed1_11,embed1_12,embed1_13,embed1_14,embed1_15,embed1_16,embed1_17,embed1_18,embed1_19,embed1_20,embed1_21,embed1_22,embed1_23,embed1_24,embed1_25,embed1_26,embed1_27,embed1_28,embed1_29,embed1_30,embed1_31,embed1_32,embed1_33,embed1_34,embed1_35,embed1_36,embed1_37,embed1_38,embed1_39,embed1_40,embed1_41,embed1_42,embed1_43,embed1_44,embed1_45,embed1_46,embed1_47,embed1_48,embed1_49,embed1_50,embed1_51,embed1_52,embed1_53,embed1_54,embed1_55,embed1_56,embed1_57,embed1_58,embed1_59,embed1_60,embed1_61,embed1_62,embed1_63,embed1_64,flow_seq_score
bre2_esa1,-0.07593565,0.06446337,-0.15020959,-0.96372426,-0.038425725,-0.20359363,0.06649471,0.16117156,0.33574876,-0.21593012,0.12575778,0.11805034,-0.04451844,-0.0625944,-0.0824441,-0.047143206,-0.90191054,0.03392587,0.22833145,-0.7129953,-0.12692358,0.29954898,-0.22579685,-0.2710091,0.08319799,-0.10004771,-0.10928828,0.10558642,0.28083062,-0.30565697,0.1386558,0.34626225,0.1369688,-0.11303074,0.6075128,0.09135636,-0.30870634,0.06922843,0.027664429,-0.1264048,0.04828237,0.1355217,-0.020781651,0.012838997,-0.17235126,0.08998181,-0.9342454,-0.21991529,0.106360674,0.1951465,0.57112414,0.013137974,-0.0100707,-0.088443615,0.12579799,0.018687233,-0.0579138,-0.011693077,-0.01496525,0.1970734,-0.11210979,-0.02922647,0.3563646,-0.00015308631,0.277229680599091
ldb7_snf11,0.05825221,0.09951611,-0.13863128,-0.95397484,-0.027513998,-0.3365205,0.035999864,0.13189958,0.37611863,-0.2904062,0.08744237,0.11421967,-0.030400917,-0.11106021,-0.08363608,-0.08872119,-0.9533953,0.03874817,0.31776285,-0.7340828,-0.09742855,0.24656436,-0.29752392,-0.25400567,0.086888775,-0.17242059,-0.11879718,0.086837366,0.24484058,-0.37349096,0.10625119,0.41474473,0.21412796,-0.13627172,0.63814086,0.04867546,-0.36221766,0.11044693,-0.017967531,-0.18843973,0.048754174,0.19281958,0.033160932,0.02314696,-0.20719299,0.14138533,-0.9386071,-0.25811198,0.08780554,0.27905124,0.46165907,0.025604434,-0.020263962,-0.10422737,0.09558966,0.035859022,0.022741476,-0.017091699,0.0022653812,0.163017,-0.14666368,-0.033461265,0.464952,-0.059609704,0.8011033820288325
empty_cdc36,-0.025058454,0.0646752,-0.090885565,-0.9680935,-0.034058113,-0.21379055,0.04684769,0.16847715,0.35075122,-0.185633,0.12301054,0.15699895,-0.019507736,-0.0455568,-0.07172835,-0.057968266,-0.930205,0.040304914,0.22109704,-0.70884705,-0.091411166,0.31261167,-0.27957788,-0.17993984,0.06624581,-0.06528973,-0.07173237,0.09749896,0.37319174,-0.31263173,0.10166612,0.34742242,0.14793034,-0.056889057,0.7257616,0.07236087,-0.3222569,0.08055499,0.042640753,-0.108011834,0.033364143,0.12706809,-0.038802065,-0.0032424533,-0.24866776,0.06569387,-0.9365031,-0.25755116,0.118000604,0.14322379,0.47153598,0.027582195,0.002144509,-0.081087016,0.10843013,0.015326808,0.06032331,-0.0107890945,-0.07014432,0.2422566,-0.08054531,-0.024984831,0.4235871,0.0035509635,0.2397785285347958
hos1_arp9,-0.056631852,0.059802085,-0.1299514,-0.954535,-0.03530528,-0.2525724,0.07153665,0.16395843,0.36622187,-0.22440031,0.109184265,0.106275134,-0.032753635,-0.0078107975,-0.065412275,-0.061804593,-0.9245432,0.033191267,0.21997486,-0.6762944,-0.13369344,0.29014632,-0.2846068,-0.30182,0.09261695,-0.10716195,-0.109122634,0.099436,0.28046507,-0.36164904,0.11005986,0.35044998,0.15551618,-0.08380013,0.58994865,0.07774732,-0.3616521,0.0793443,0.02522179,-0.14237948,0.051605854,0.14499068,-0.044087656,0.059931617,-0.14521766,0.09648864,-0.91447186,-0.19817916,0.11013828,0.19940884,0.55910444,0.012856996,-0.013388378,-0.09939757,0.10840261,0.017360033,-0.07064658,-0.0015191527,-0.036288068,0.19123185,-0.10780157,-0.043244556,0.4128761,-0.01167003,0.3693999288844962
DAM_rtt102,-0.059472963,0.07732168,-0.11678176,-0.96626467,-0.030024113,-0.20267233,0.057986565,0.18192352,0.35484454,-0.2135789,0.12816261,0.13625002,-0.031177076,-0.039810266,-0.08904236,-0.046316892,-0.90276784,0.032026857,0.18628998,-0.6886357,-0.085567094,0.3211985,-0.2889362,-0.23557405,0.08828752,-0.08341215,-0.088984,0.09263372,0.33521453,-0.3443713,0.13030104,0.3662056,0.16444674,-0.09894662,0.70789933,0.092573866,-0.26814878,0.05335632,0.019564686,-0.12583771,0.029940894,0.13908418,-0.0076449653,0.029849239,-0.19357805,0.10712901,-0.92454267,-0.24362922,0.11721829,0.20685805,0.4812132,0.023539785,0.0029097248,-0.073627256,0.108827315,0.014236944,-0.02070177,-0.012879175,-0.011252241,0.2005815,-0.097999506,-0.019654788,0.37592986,-0.003433204,0.4013674103676905
esa1_rtt102,-0.07925693,0.05360385,-0.14794202,-0.9690565,-0.039097488,-0.18903431,0.054845043,0.15459885,0.31976387,-0.20365217,0.11703042,0.11075393,-0.051261313,-0.06790668,-0.104255274,-0.048850246,-0.91807806,0.03252429,0.23739591,-0.7237724,-0.12844162,0.30545938,-0.21396556,-0.23698881,0.062317535,-0.101771615,-0.106037274,0.1082145,0.255527,-0.3007404,0.12935568,0.34001714,0.12444458,-0.08644007,0.6160921,0.07046866,-0.31520492,0.073087744,0.027481603,-0.11362871,0.0488771,0.121735394,-0.033016823,-0.01919691,-0.19840893,0.07326348,-0.9390949,-0.2513226,0.09816559,0.17552038,0.5982326,0.010054994,-0.012755552,-0.098260395,0.12583221,0.018156627,-0.048756804,-0.0092166215,-0.026331937,0.1942684,-0.098888665,-0.022505138,0.34290388,0.0047208695,0.4713699500389092
hst2_bre2,-0.07605777,0.068341754,-0.13465455,-0.95590764,-0.025778728,-0.184873,0.05938511,0.18751837,0.32209113,-0.20907569,0.13402662,0.114455,-0.047181126,-0.03490923,-0.079733446,-0.046606485,-0.9053126,0.03335298,0.20635574,-0.69807327,-0.10045706,0.3066857,-0.26936868,-0.26825422,0.0844606,-0.08744168,-0.10246268,0.10719114,0.28778112,-0.32686204,0.13515414,0.33565626,0.15596588,-0.09461657,0.6558726,0.08531272,-0.29486868,0.061860234,0.021869589,-0.118784636,0.04187633,0.13755153,-0.022342551,0.006828298,-0.19765082,0.09177195,-0.94483393,-0.22156607,0.11219145,0.20020634,0.55009294,0.017682161,0.0032556695,-0.09112822,0.12750797,0.014849848,-0.03257034,-0.023756115,-0.0170013,0.1933896,-0.09696267,-0.025680378,0.36275494,-0.0027673736,0.2589986211364944
hda1_mig1,-0.029501721,0.03991924,-0.12034602,-0.97526604,-0.03289632,-0.29973102,0.028441899,0.11135421,0.32363033,-0.19551253,0.13287066,0.081425786,-0.03980464,-0.11087136,-0.13773437,-0.09945982,-0.958469,0.03038922,0.41241553,-0.73795724,-0.08027391,0.22555259,-0.26177904,-0.22839046,0.039588924,-0.12374952,-0.100162745,0.11660014,0.18116404,-0.2519472,0.09964621,0.38861743,0.12191972,-0.067849495,0.73341584,-0.0049620294,-0.36431503,0.14106713,0.023592714,-0.117910765,0.080220215,0.0948078,-0.009311119,-0.08751047,-0.35692877,0.05137445,-0.96364594,-0.28958288,0.0893869,0.18105796,0.5205241,0.024296356,-0.0030700078,-0.09295242,0.13897276,0.03645996,0.047452755,-0.050401427,-0.03693358,0.15010881,-0.08208238,-0.03596724,0.3009605,-0.024055708,0.1817348581407835
hda1_srb7,-0.06734247,0.076052725,-0.1286429,-0.9614174,-0.024206325,-0.18525223,0.073447056,0.16386454,0.3443613,-0.1699819,0.13736808,0.1256267,-0.036220662,-0.0009800844,-0.091989465,-0.04640734,-0.9055815,0.033155836,0.14814188,-0.66088563,-0.09607059,0.3055546,-0.25668854,-0.26168254,0.095097356,-0.08696519,-0.1024442,0.09309478,0.3138135,-0.36618432,0.13648136,0.3412697,0.14729472,-0.08717748,0.65580094,0.081855394,-0.2918618,0.060989946,0.037013978,-0.11410789,0.034351457,0.13207613,-0.0460892,0.047297847,-0.16109897,0.08542141,-0.93158066,-0.19416109,0.113663636,0.20000532,0.502684,0.01651348,-0.0076414575,-0.10141122,0.115834415,0.010980119,-0.031856623,-0.030259125,-0.023455098,0.20780241,-0.09662747,-0.040133767,0.36217332,-0.00419088,0.1966727568460702
htl1_ies5,-0.09786491,0.049076278,-0.13140842,-0.9769131,-0.04343515,-0.25342897,0.058466,0.1257144,0.28850162,-0.231357,0.15586829,0.14371033,-0.048501406,-0.07823172,-0.13405389,-0.09592502,-0.8977648,0.044128828,0.4461732,-0.7382475,-0.09741029,0.25498366,-0.22360617,-0.24484754,0.037888825,-0.10562774,-0.103408225,0.12246886,0.2833719,-0.3039626,0.122672044,0.36831066,0.104835615,-0.06882299,0.6710735,-0.010160235,-0.3050436,0.1410164,0.03771786,-0.10573318,0.07378559,0.12217594,0.00043694262,-0.16205278,-0.31108454,0.05139959,-0.959178,-0.43260324,0.10768682,0.18630944,0.6244191,0.020432265,-0.029079141,-0.0949652,0.14805293,0.02258496,0.009811061,-0.08008819,-0.003276835,0.2725688,-0.14348257,-0.040398207,0.3486034,0.0276481,0.295067730049856
