,embed1_1,embed1_2,embed1_3,embed1_4,embed1_5,embed1_6,embed1_7,embed1_8,embed1_9,embed1_10,embed1_11,embed1_12,embed1_13,embed1_14,embed1_15,embed1_16,embed1_17,embed1_18,embed1_19,embed1_20,embed1_21,embed1_22,embed1_23,embed1_24,embed1_25,embed1_26,embed1_27,embed1_28,embed1_29,embed1_30,embed1_31,embed1_32,embed1_33,embed1_34,embed1_35,embed1_36,embed1_37,embed1_38,embed1_39,embed1_40,embed1_41,embed1_42,embed1_43,embed1_44,embed1_45,embed1_46,embed1_47,embed1_48,embed1_49,embed1_50,embed1_51,embed1_52,embed1_53,embed1_54,embed1_55,embed1_56,embed1_57,embed1_58,embed1_59,embed1_60,embed1_61,embed1_62,embed1_63,embed1_64,flow_seq_score
eaf5_arp9,-0.065826796,0.070660844,-0.16392107,-0.955744,-0.033554025,-0.18862367,0.084868014,0.20651203,0.3921572,-0.18688717,0.12251748,0.16294946,-0.048295565,0.06415525,-0.06948396,-0.09161825,-0.8774794,0.046097126,0.21287897,-0.59489954,-0.12879044,0.30113253,-0.30263168,-0.30206114,0.09827225,-0.121127106,-0.12152651,0.08832481,0.29815602,-0.4202012,0.15295269,0.40881163,0.15635817,-0.061878666,0.5227928,0.021177523,-0.31325576,0.09080473,0.013006053,-0.15570407,0.03192516,0.13525413,-0.04562764,0.068215854,-0.11405278,0.11503177,-0.9413105,-0.27652466,0.1428011,0.21705897,0.6138399,0.015275144,-0.021068927,-0.12904035,0.1045315,0.02065815,-0.08884552,-0.031433243,-0.029451312,0.25897726,-0.17179447,-0.045427375,0.41215822,-0.01905468,0.5560303867855021
eaf5_mig1,-0.005280349,0.04659534,-0.1658503,-0.9519695,-0.046018302,-0.3559483,0.0016947491,0.12564152,0.36820388,-0.17145294,0.18961175,0.1587666,-0.030791696,-0.12514637,-0.23877338,-0.22882745,-0.90087277,0.058440086,0.55558056,-0.62743837,-0.13157032,0.22081617,-0.37592152,-0.2858444,0.08258335,-0.23687693,-0.1252188,0.11675192,0.23069715,-0.33057886,0.12350231,0.48114172,0.18274185,-0.07760706,0.59081817,-0.09973431,-0.3673357,0.22881603,0.00987641,-0.18425544,0.0951217,0.09472841,0.053539872,-0.13093446,-0.2939734,0.0925012,-0.9495131,-0.5431598,0.12686232,0.20825727,0.652192,0.05449433,-0.04221637,-0.10026878,0.1610439,0.11259634,0.040802214,-0.06679185,-0.04777711,0.23640254,-0.22851412,-0.052962042,0.35959446,-0.07908103,0.4625441143496767
lge1_DAM,-0.056000333,0.068116955,-0.22948673,-0.9717077,-0.07121884,-0.39743453,0.027049733,0.12480752,0.37816173,-0.20528103,0.14606854,0.1322375,-0.0030066972,-0.17195553,-0.2057252,-0.13357641,-0.9142556,0.04039307,0.45537603,-0.7093068,-0.14710534,0.33116588,-0.32315946,-0.15557064,0.07555618,-0.17112364,-0.017601782,0.074354805,0.30280507,-0.3139952,0.1847033,0.4578462,0.17951654,-0.12870109,0.6606526,0.056710027,-0.28255996,0.13753408,0.035393555,-0.20330968,0.03977562,0.09190067,0.12492668,-0.056655716,-0.23784806,0.09095973,-0.9505435,-0.4413955,0.14239317,0.24391973,0.557254,0.03029162,-0.02510448,-0.10279869,0.16890727,0.13481243,0.050948396,0.0055805673,-0.010408117,0.21713631,-0.17853934,0.010153649,0.28775686,-0.10984467,0.3795655849851524
ldb7_cdc36,-0.028439997,0.084757976,-0.09469233,-0.9797159,-0.024122702,-0.13924135,0.04772431,0.14891326,0.31192723,-0.15127105,0.16841882,0.19677277,-0.0436324,0.0007101132,-0.18048154,-0.07772857,-0.90717673,0.031856224,0.25582424,-0.6531845,-0.05615823,0.3016318,-0.29867387,-0.21231079,0.067195036,-0.089314096,-0.09289779,0.07897608,0.3191251,-0.37378982,0.13685606,0.40046617,0.1584535,-0.061865605,0.76131713,0.033507083,-0.29151377,0.09874691,0.0065232073,-0.13112691,0.043148246,0.11264895,-0.0067170435,0.025591224,-0.2862448,0.09453501,-0.9576996,-0.32858676,0.1218182,0.17466873,0.4539975,0.039308645,0.009771986,-0.10307385,0.11514732,0.022121824,0.0700566,-0.045457136,-0.023761887,0.26265976,-0.096848086,-0.027447099,0.32488197,-0.005714011,0.6915140339081185
ies5_dpd4,-0.10676198,0.07049748,-0.145657,-0.9671277,-0.038380336,-0.15343413,0.08334711,0.15457533,0.3122237,-0.19453019,0.18267263,0.22388572,-0.055975035,0.0656957,-0.11237916,-0.07052624,-0.8237327,0.044509284,0.32261404,-0.619122,-0.087814994,0.3129182,-0.26941475,-0.3008291,0.051012233,-0.12110388,-0.13843018,0.07529856,0.337743,-0.4285696,0.15731066,0.4356063,0.12590231,-0.08662908,0.6609574,0.035603166,-0.25318336,0.11428117,0.011481702,-0.13360338,0.05561724,0.14998469,0.0099453265,-0.00064992835,-0.21645339,0.08336217,-0.942514,-0.4710733,0.15815254,0.21614596,0.6085724,0.028905343,-0.014042791,-0.10272566,0.12599118,0.02728715,-0.023419496,-0.100288875,0.024460603,0.35422805,-0.21336696,-0.026506634,0.3405904,0.03481359,0.4103297091132759
dpd4_vps71,-0.086063266,0.05413758,-0.15215407,-0.97202957,-0.040849134,-0.21405949,0.03384314,0.13966209,0.31952336,-0.19755323,0.16402979,0.16173148,-0.06470729,-0.063851304,-0.14140928,-0.10657268,-0.8826987,0.040862408,0.4205806,-0.68387717,-0.09998707,0.2793874,-0.26742288,-0.25370097,0.047318555,-0.136828,-0.12490169,0.10179071,0.25698057,-0.33741167,0.13125221,0.42373896,0.11839746,-0.082497105,0.66740394,0.0016367717,-0.29684734,0.1319532,0.008003759,-0.1335984,0.070425905,0.12781346,0.029031355,-0.10287689,-0.28938186,0.0750363,-0.95782393,-0.45584548,0.1205092,0.19993591,0.636501,0.02627604,-0.013042832,-0.09590258,0.14199245,0.037927456,0.022070657,-0.07568234,-0.004706763,0.25608274,-0.16188164,-0.016414475,0.31565404,0.011096127,0.1585105506036604
hhf2_hos1,-0.05921474,0.07707951,-0.12933066,-0.96263564,-0.028101292,-0.20652054,0.076837756,0.19210541,0.3330717,-0.17795958,0.14316374,0.17604215,-0.03928838,0.00783453,-0.10129894,-0.07210726,-0.9173425,0.029330088,0.1973369,-0.64304245,-0.1081205,0.31895146,-0.333444,-0.25674206,0.12206754,-0.0976469,-0.099444814,0.08501661,0.3574917,-0.401602,0.17542595,0.3521014,0.1624643,-0.07328068,0.63857335,0.05814894,-0.32745892,0.070735134,0.01628731,-0.15249571,0.037537113,0.10964587,-0.041567683,0.08119956,-0.17487298,0.13941713,-0.9387627,-0.23000571,0.1446989,0.19792831,0.50689983,0.025638042,-0.0071951607,-0.11340516,0.11914623,0.02030205,-0.018948387,-0.0055574146,-0.033013918,0.22466573,-0.09001729,-0.025385235,0.36404774,-0.020387558,0.2558506243865756
bre2_nut2,-0.07058895,0.08567252,-0.15045282,-0.96208775,-0.033746697,-0.19238065,0.07799703,0.19630344,0.35617265,-0.21378319,0.13503069,0.16943175,-0.031254154,0.010492762,-0.07251204,-0.053467046,-0.8590931,0.044083748,0.20467184,-0.6605196,-0.116813555,0.3332353,-0.28459513,-0.26427615,0.08975014,-0.118639864,-0.12511347,0.084490076,0.35331306,-0.40061,0.14405732,0.39208725,0.1743126,-0.11430616,0.6014295,0.09995435,-0.27568012,0.07273479,0.0061834147,-0.13887575,0.032148857,0.15831828,-0.015353195,0.045334462,-0.118956044,0.11313321,-0.9210916,-0.2837695,0.13581663,0.19582178,0.5602968,0.018242653,-0.019951267,-0.098087326,0.11209823,0.023531988,-0.060754746,-0.0028702542,-0.010576744,0.27221438,-0.16970628,-0.01933589,0.40192503,-0.0037461978,0.3093986959462408
cac2_nut2,-0.02964878,0.10318536,-0.1365655,-0.9367064,-0.01611596,-0.27878022,0.07350567,0.19827178,0.36133963,-0.2471075,0.12591328,0.17597017,-0.039341472,-0.055250324,-0.06482583,-0.07043369,-0.8931736,0.040646978,0.20161694,-0.6793915,-0.073876515,0.3232041,-0.36687148,-0.2572288,0.123728015,-0.09492963,-0.090200245,0.10108452,0.40396795,-0.44029638,0.15950674,0.35813275,0.20294441,-0.0956838,0.6739616,0.060547847,-0.2821662,0.075381696,0.025715696,-0.1482692,0.03097716,0.17495959,-0.02582671,0.024451967,-0.19020027,0.1515346,-0.9239733,-0.24773443,0.13957264,0.23968928,0.43400204,0.03295941,-0.0033591622,-0.09934116,0.120053895,0.013226716,-0.0002152356,-0.022475425,-0.015286971,0.23403955,-0.13917673,-0.038956556,0.42621282,-0.028919106,0.3101832119163
arp9_lge1,-0.057081312,0.064999744,-0.20112078,-0.9642553,-0.0512395,-0.37220806,0.04295064,0.16499728,0.3710929,-0.2267159,0.12223084,0.15769528,-0.01904819,-0.17487143,-0.13882414,-0.13181783,-0.9015189,0.044990376,0.40912133,-0.695772,-0.14550391,0.32587987,-0.3520983,-0.20720524,0.09303502,-0.1575901,-0.039683722,0.08578995,0.33279836,-0.36464828,0.18182002,0.4310239,0.18450773,-0.10862473,0.61543083,0.04245352,-0.3034617,0.13177058,0.03675528,-0.19884755,0.040265962,0.118026584,0.07664939,-0.064731605,-0.1963836,0.1143255,-0.94685286,-0.38540587,0.14485689,0.20709278,0.5894722,0.024902076,-0.023788547,-0.094690524,0.16234526,0.10538851,-0.0070428443,0.0042910795,-0.030448755,0.22511208,-0.17279929,-0.012364257,0.33991718,-0.09384694,0.2165003840419841
